industry,city,quarter,licenses_cumulative,new_this_quarter
fintech,hk,2015Q1,0,0
fintech,hk,2015Q2,0,0
fintech,hk,2015Q3,0,0
fintech,hk,2015Q4,0,0
fintech,hk,2016Q1,0,0
fintech,hk,2016Q2,0,0
fintech,hk,2016Q3,4,4
fintech,hk,2016Q4,13,9
fintech,hk,2017Q1,13,0
fintech,hk,2017Q2,13,0
fintech,hk,2017Q3,13,0
fintech,hk,2017Q4,13,0
fintech,hk,2018Q1,13,0
fintech,hk,2018Q2,13,0
fintech,hk,2018Q3,13,0
fintech,hk,2018Q4,13,0
fintech,hk,2019Q1,16,3
fintech,hk,2019Q2,23,7
fintech,hk,2019Q3,23,0
fintech,hk,2019Q4,23,0
fintech,hk,2020Q1,23,0
fintech,hk,2020Q2,23,0
fintech,hk,2020Q3,23,0
fintech,hk,2020Q4,24,1
fintech,hk,2021Q1,24,0
fintech,hk,2021Q2,24,0
fintech,hk,2021Q3,24,0
fintech,hk,2021Q4,24,0
fintech,hk,2022Q1,24,0
fintech,hk,2022Q2,24,0
fintech,hk,2022Q3,24,0
fintech,hk,2022Q4,26,2
fintech,hk,2023Q1,26,0
fintech,hk,2023Q2,26,0
fintech,hk,2023Q3,26,0
fintech,hk,2023Q4,26,0
fintech,hk,2024Q1,26,0
fintech,hk,2024Q2,26,0
fintech,hk,2024Q3,26,0
fintech,hk,2024Q4,31,5
