patent_variant,variant_label,field,industry,hk_mean_own_window,hk_n_own,sg_mean_own_window,sg_n_own,delta_own_window,hk_mean_common,sg_mean_common,n_common_quarters,delta_common_window
asis,原样（附录口径）,IDI,ai,-0.4942,40,0.6708,36,-1.1649,-0.4934,0.6708,36,-1.1642
asis,原样（附录口径）,IDI,biomed,0.4319,40,0.1546,40,+0.2774,0.4319,0.1546,40,+0.2774
asis,原样（附录口径）,IDI,fintech,-0.1450,40,-0.6878,36,+0.5429,-0.2754,-0.6878,36,+0.4125
asis,原样（附录口径）,IDI_创新,ai,-0.4171,36,0.6708,36,-1.0879,-0.4171,0.6708,36,-1.0879
asis,原样（附录口径）,IDI_创新,biomed,0.3010,40,0.1546,40,+0.1464,0.3010,0.1546,40,+0.1464
asis,原样（附录口径）,IDI_创新,fintech,-0.1450,40,-0.6878,36,+0.5429,-0.2754,-0.6878,36,+0.4125
ali_grp,剔阿里集团·两城同剔（正文主口径）,IDI,ai,-0.6228,40,0.8864,36,-1.5092,-0.6363,0.8864,36,-1.5227
ali_grp,剔阿里集团·两城同剔（正文主口径）,IDI,biomed,0.4737,40,0.2686,40,+0.2051,0.4737,0.2686,40,+0.2051
ali_grp,剔阿里集团·两城同剔（正文主口径）,IDI,fintech,-0.3874,40,-0.5181,36,+0.1307,-0.5447,-0.5181,36,-0.0266
ali_grp,剔阿里集团·两城同剔（正文主口径）,IDI_创新,ai,-0.7029,36,0.8864,36,-1.5893,-0.7029,0.8864,36,-1.5893
ali_grp,剔阿里集团·两城同剔（正文主口径）,IDI_创新,biomed,0.3845,40,0.2686,40,+0.1159,0.3845,0.2686,40,+0.1159
ali_grp,剔阿里集团·两城同剔（正文主口径）,IDI_创新,fintech,-0.3874,40,-0.5181,36,+0.1307,-0.5447,-0.5181,36,-0.0266
ali_ant_grp,再加剔蚂蚁集团（敏感性）,IDI,ai,-0.6173,40,0.8752,36,-1.4925,-0.6302,0.8752,36,-1.5054
ali_ant_grp,再加剔蚂蚁集团（敏感性）,IDI,biomed,0.4772,40,0.2781,40,+0.1991,0.4772,0.2781,40,+0.1991
ali_ant_grp,再加剔蚂蚁集团（敏感性）,IDI,fintech,-0.3823,40,-0.5672,36,+0.1848,-0.5391,-0.5672,36,+0.0280
ali_ant_grp,再加剔蚂蚁集团（敏感性）,IDI_创新,ai,-0.6906,36,0.8752,36,-1.5658,-0.6906,0.8752,36,-1.5658
ali_ant_grp,再加剔蚂蚁集团（敏感性）,IDI_创新,biomed,0.3916,40,0.2781,40,+0.1135,0.3916,0.2781,40,+0.1135
ali_ant_grp,再加剔蚂蚁集团（敏感性）,IDI_创新,fintech,-0.3823,40,-0.5672,36,+0.1848,-0.5391,-0.5672,36,+0.0280
