industry,city,quarter,TAI,TAI_n_dims,IDI,IDI_n_dims,TAI_规模,TAI_质量,TAI_网络,IDI_创新,IDI_商业,n_indicators
ai,hk,2015Q1,-0.539088,2,-0.797045,2,,-0.709816,-0.368359,-1.024356,-0.569734,4
ai,hk,2015Q2,0.524559,2,-0.622989,2,,0.716562,0.332557,-0.676243,-0.569734,4
ai,hk,2015Q3,0.254994,2,-0.622989,2,,0.547915,-0.037928,-0.676243,-0.569734,4
ai,hk,2015Q4,0.014074,2,-0.501149,2,,-0.214479,0.242626,-0.432563,-0.569734,4
ai,hk,2016Q1,0.103594,2,-0.744828,2,,0.088599,0.118590,-0.919922,-0.569734,4
ai,hk,2016Q2,0.751937,2,-0.710017,2,,1.347631,0.156242,-0.850299,-0.569734,4
ai,hk,2016Q3,0.190768,2,-0.727423,2,,0.586146,-0.204611,-0.885111,-0.569734,4
ai,hk,2016Q4,-0.680121,2,-0.710017,2,,-0.459885,-0.900357,-0.850299,-0.569734,4
ai,hk,2017Q1,-0.096171,2,-0.048601,2,,-0.408682,0.216341,0.472532,-0.569734,4
ai,hk,2017Q2,0.060979,2,-0.240064,2,,-0.226106,0.348065,0.089607,-0.569734,4
ai,hk,2017Q3,0.251724,2,-0.309686,2,,0.474795,0.028653,-0.049638,-0.569734,4
ai,hk,2017Q4,0.181167,2,-0.292281,2,,0.116045,0.246290,-0.014827,-0.569734,4
ai,hk,2018Q1,-0.205830,3,-0.292281,2,-0.652788,-0.279550,0.314848,-0.014827,-0.569734,5
ai,hk,2018Q2,-0.105951,3,-0.013790,2,-0.723610,0.155517,0.250238,0.542155,-0.569734,5
ai,hk,2018Q3,-0.165041,3,0.038427,2,-0.759664,-0.030274,0.294815,0.646589,-0.569734,5
ai,hk,2018Q4,-0.365136,3,0.282107,2,-0.748075,-0.190727,-0.156607,1.133947,-0.569734,5
ai,hk,2019Q1,-0.038221,3,-0.031196,2,-0.619309,0.229697,0.274948,0.507343,-0.569734,5
ai,hk,2019Q2,-0.092360,3,-0.083413,2,-0.735199,0.333539,0.124579,0.402909,-0.569734,5
ai,hk,2019Q3,-0.249993,3,0.177672,2,-0.701719,-0.089798,0.041539,0.925079,-0.569734,5
ai,hk,2019Q4,-0.164619,3,-0.605583,2,-0.703007,-0.232580,0.441729,-0.641431,-0.569734,5
ai,hk,2020Q1,-0.210278,3,-0.762234,2,-0.544625,-0.462550,0.376342,-0.954733,-0.569734,5
ai,hk,2020Q2,-0.106589,3,-0.797045,2,-0.710733,0.199078,0.191888,-1.024356,-0.569734,5
ai,hk,2020Q3,-0.058031,3,-0.553366,2,-0.730048,0.109153,0.446801,-0.536997,-0.569734,5
ai,hk,2020Q4,-0.271638,3,-0.588177,2,-0.678542,-0.440888,0.304516,-0.606620,-0.569734,5
ai,hk,2021Q1,-0.155691,3,-0.692611,2,-0.431311,-0.312786,0.277023,-0.815488,-0.569734,5
ai,hk,2021Q2,0.036152,3,-0.675206,2,-0.636049,0.366144,0.378361,-0.780677,-0.569734,5
ai,hk,2021Q3,-0.043630,3,-0.797045,2,-0.657939,-0.203935,0.730984,-1.024356,-0.569734,5
ai,hk,2021Q4,-0.262051,3,-0.640394,2,-0.625748,-0.414781,0.254374,-0.711054,-0.569734,5
ai,hk,2022Q1,0.059394,3,-0.727423,2,-0.316710,-0.014099,0.508989,-0.885111,-0.569734,5
ai,hk,2022Q2,-0.033656,3,-0.744828,2,-0.602570,0.166630,0.334971,-0.919922,-0.569734,5
ai,hk,2022Q3,-0.127688,3,-0.657800,2,-0.628323,-0.501290,0.746549,-0.745865,-0.569734,5
ai,hk,2022Q4,-0.357875,3,-0.779640,2,-0.589693,-0.933681,0.449751,-0.989545,-0.569734,5
ai,hk,2023Q1,0.038624,3,-0.466337,2,-0.108110,-0.402160,0.626142,-0.362941,-0.569734,5
ai,hk,2023Q2,0.133087,3,-0.622989,2,-0.464791,0.203826,0.660227,-0.676243,-0.569734,5
ai,hk,2023Q3,-0.097834,3,-0.831857,2,-0.553639,-0.343362,0.603500,-1.093979,-0.569734,5
ai,hk,2023Q4,-0.172294,3,-0.570772,2,-0.482818,-0.524248,0.490185,-0.571809,-0.569734,5
ai,hk,2024Q1,0.319174,3,-0.569734,1,0.181613,0.137798,0.638112,,-0.569734,4
ai,hk,2024Q2,0.191826,3,-0.523973,1,-0.370792,0.311392,0.634878,,-0.523973,4
