industry,city,quarter,works,intl_works,intl_share
ai,hk,2015Q1,231,154,0.666667
ai,hk,2015Q2,99,76,0.767677
ai,hk,2015Q3,98,70,0.714286
ai,hk,2015Q4,106,80,0.754717
ai,hk,2016Q1,190,140,0.736842
ai,hk,2016Q2,97,72,0.742268
ai,hk,2016Q3,113,78,0.690265
ai,hk,2016Q4,100,59,0.590000
ai,hk,2017Q1,269,202,0.750929
ai,hk,2017Q2,113,87,0.769912
ai,hk,2017Q3,134,97,0.723881
ai,hk,2017Q4,143,108,0.755245
ai,hk,2018Q1,281,215,0.765125
ai,hk,2018Q2,172,130,0.755814
ai,hk,2018Q3,143,109,0.762238
ai,hk,2018Q4,142,99,0.697183
ai,hk,2019Q1,320,243,0.759375
ai,hk,2019Q2,183,135,0.737705
ai,hk,2019Q3,237,172,0.725738
ai,hk,2019Q4,217,170,0.783410
ai,hk,2020Q1,469,363,0.773987
ai,hk,2020Q2,289,216,0.747405
ai,hk,2020Q3,227,178,0.784141
ai,hk,2020Q4,275,210,0.763636
ai,hk,2021Q1,491,373,0.759674
ai,hk,2021Q2,381,295,0.774278
ai,hk,2021Q3,263,217,0.825095
ai,hk,2021Q4,312,236,0.756410
ai,hk,2022Q1,551,437,0.793103
ai,hk,2022Q2,319,245,0.768025
ai,hk,2022Q3,278,230,0.827338
ai,hk,2022Q4,311,244,0.784566
ai,hk,2023Q1,721,584,0.809986
ai,hk,2023Q2,443,361,0.814898
ai,hk,2023Q3,357,288,0.806723
ai,hk,2023Q4,458,362,0.790393
ai,hk,2024Q1,871,707,0.811711
ai,hk,2024Q2,498,404,0.811245
ai,hk,2024Q3,505,417,0.825743
ai,hk,2024Q4,575,460,0.800000
ai,sg,2015Q1,312,198,0.634615
ai,sg,2015Q2,148,105,0.709459
ai,sg,2015Q3,146,93,0.636986
ai,sg,2015Q4,176,108,0.613636
ai,sg,2016Q1,365,233,0.638356
ai,sg,2016Q2,176,121,0.687500
ai,sg,2016Q3,184,123,0.668478
ai,sg,2016Q4,175,114,0.651429
ai,sg,2017Q1,330,226,0.684848
ai,sg,2017Q2,143,110,0.769231
ai,sg,2017Q3,173,117,0.676301
ai,sg,2017Q4,222,142,0.639640
ai,sg,2018Q1,346,247,0.713873
ai,sg,2018Q2,212,137,0.646226
ai,sg,2018Q3,203,133,0.655172
ai,sg,2018Q4,237,147,0.620253
ai,sg,2019Q1,406,305,0.751232
ai,sg,2019Q2,220,154,0.700000
ai,sg,2019Q3,259,178,0.687259
ai,sg,2019Q4,307,189,0.615635
ai,sg,2020Q1,547,407,0.744059
ai,sg,2020Q2,338,257,0.760355
ai,sg,2020Q3,281,183,0.651246
ai,sg,2020Q4,319,213,0.667712
ai,sg,2021Q1,541,386,0.713494
ai,sg,2021Q2,439,306,0.697039
ai,sg,2021Q3,357,230,0.644258
ai,sg,2021Q4,339,243,0.716814
ai,sg,2022Q1,571,395,0.691769
ai,sg,2022Q2,335,234,0.698507
ai,sg,2022Q3,312,225,0.721154
ai,sg,2022Q4,365,264,0.723288
ai,sg,2023Q1,726,536,0.738292
ai,sg,2023Q2,467,366,0.783726
ai,sg,2023Q3,344,253,0.735465
ai,sg,2023Q4,431,316,0.733179
ai,sg,2024Q1,784,600,0.765306
ai,sg,2024Q2,475,358,0.753684
ai,sg,2024Q3,415,335,0.807229
ai,sg,2024Q4,495,379,0.765657
biomed,hk,2015Q1,1692,1301,0.768913
biomed,hk,2015Q2,1329,1031,0.775771
biomed,hk,2015Q3,1237,967,0.781730
biomed,hk,2015Q4,1330,1069,0.803759
biomed,hk,2016Q1,1876,1510,0.804904
biomed,hk,2016Q2,1344,1085,0.807292
biomed,hk,2016Q3,1318,1053,0.798938
biomed,hk,2016Q4,1433,1176,0.820656
biomed,hk,2017Q1,1869,1503,0.804173
biomed,hk,2017Q2,1471,1169,0.794697
biomed,hk,2017Q3,1449,1167,0.805383
biomed,hk,2017Q4,1464,1234,0.842896
biomed,hk,2018Q1,1941,1598,0.823287
biomed,hk,2018Q2,1520,1253,0.824342
biomed,hk,2018Q3,1560,1305,0.836538
biomed,hk,2018Q4,1644,1434,0.872263
biomed,hk,2019Q1,2124,1808,0.851224
biomed,hk,2019Q2,1726,1464,0.848204
biomed,hk,2019Q3,1901,1546,0.813256
biomed,hk,2019Q4,1719,1460,0.849331
biomed,hk,2020Q1,2780,2399,0.862950
biomed,hk,2020Q2,2578,2207,0.856090
biomed,hk,2020Q3,2435,2085,0.856263
biomed,hk,2020Q4,2289,1955,0.854085
biomed,hk,2021Q1,3229,2806,0.869000
biomed,hk,2021Q2,2326,1971,0.847377
biomed,hk,2021Q3,2257,1932,0.856004
biomed,hk,2021Q4,2373,2048,0.863043
biomed,hk,2022Q1,3742,3277,0.875735
biomed,hk,2022Q2,2484,2162,0.870370
biomed,hk,2022Q3,2582,2244,0.869094
biomed,hk,2022Q4,2555,2196,0.859491
biomed,hk,2023Q1,3696,3195,0.864448
biomed,hk,2023Q2,2496,2105,0.843349
biomed,hk,2023Q3,2334,2039,0.873608
biomed,hk,2023Q4,2597,2235,0.860608
biomed,hk,2024Q1,3263,2807,0.860251
biomed,hk,2024Q2,2540,2243,0.883071
biomed,hk,2024Q3,2490,2159,0.867068
