industry,city,quarter,unique_authors,unique_authors_allauthors,new_authors,new_authors_usable,window_full
ai,hk,2015Q1,271,544,271,False,False
ai,hk,2015Q2,385,815,114,False,False
ai,hk,2015Q3,471,1031,86,False,False
ai,hk,2015Q4,570,1263,99,False,False
ai,hk,2016Q1,704,1636,134,False,False
ai,hk,2016Q2,775,1834,71,False,False
ai,hk,2016Q3,865,2142,90,False,False
ai,hk,2016Q4,940,2297,75,False,False
ai,hk,2017Q1,1114,2881,174,False,False
ai,hk,2017Q2,1183,3074,69,False,False
ai,hk,2017Q3,1285,3314,102,False,False
ai,hk,2017Q4,1383,3615,98,False,True
ai,hk,2018Q1,1438,3797,170,True,True
ai,hk,2018Q2,1498,3965,115,True,True
ai,hk,2018Q3,1527,4059,87,True,True
ai,hk,2018Q4,1554,4142,96,True,True
ai,hk,2019Q1,1674,4481,196,True,True
ai,hk,2019Q2,1728,4649,106,True,True
ai,hk,2019Q3,1799,4827,132,True,True
ai,hk,2019Q4,1885,5131,131,True,True
ai,hk,2020Q1,2016,5503,254,True,True
ai,hk,2020Q2,2083,5794,125,True,True
ai,hk,2020Q3,2112,5993,110,True,True
ai,hk,2020Q4,2197,6293,150,True,True
ai,hk,2021Q1,2406,6887,342,True,True
ai,hk,2021Q2,2495,7231,183,True,True
ai,hk,2021Q3,2605,7561,166,True,True
ai,hk,2021Q4,2735,7980,191,True,True
ai,hk,2022Q1,3035,8941,431,True,True
ai,hk,2022Q2,3164,9405,209,True,True
ai,hk,2022Q3,3228,9631,189,True,True
ai,hk,2022Q4,3356,10042,219,True,True
ai,hk,2023Q1,3765,11201,593,True,True
ai,hk,2023Q2,3984,11957,316,True,True
ai,hk,2023Q3,4138,12463,247,True,True
ai,hk,2023Q4,4309,12985,302,True,True
ai,hk,2024Q1,4894,14877,818,True,True
ai,hk,2024Q2,5122,15586,389,True,True
ai,hk,2024Q3,5314,16415,334,True,True
ai,hk,2024Q4,5633,17456,458,True,True
ai,sg,2015Q1,409,749,409,False,False
ai,sg,2015Q2,569,1120,160,False,False
ai,sg,2015Q3,722,1423,153,False,False
ai,sg,2015Q4,887,1784,165,False,False
ai,sg,2016Q1,1121,2319,234,False,False
ai,sg,2016Q2,1262,2627,141,False,False
ai,sg,2016Q3,1381,3025,119,False,False
ai,sg,2016Q4,1504,3280,123,False,False
ai,sg,2017Q1,1711,3769,207,False,False
ai,sg,2017Q2,1813,4090,102,False,False
ai,sg,2017Q3,1922,4381,109,False,False
ai,sg,2017Q4,2031,4648,109,False,True
ai,sg,2018Q1,2050,4830,200,True,True
ai,sg,2018Q2,2094,4975,114,True,True
ai,sg,2018Q3,2125,5103,109,True,True
ai,sg,2018Q4,2174,5201,134,True,True
ai,sg,2019Q1,2218,5548,214,True,True
ai,sg,2019Q2,2230,5638,127,True,True
ai,sg,2019Q3,2287,5672,147,True,True
ai,sg,2019Q4,2418,6009,233,True,True
ai,sg,2020Q1,2583,6691,328,True,True
ai,sg,2020Q2,2675,7160,160,True,True
ai,sg,2020Q3,2731,7360,157,True,True
ai,sg,2020Q4,2805,7620,170,True,True
ai,sg,2021Q1,3019,8118,359,True,True
ai,sg,2021Q2,3150,8428,216,True,True
ai,sg,2021Q3,3288,8759,221,True,True
ai,sg,2021Q4,3383,9108,199,True,True
ai,sg,2022Q1,3652,9693,416,True,True
ai,sg,2022Q2,3780,10038,231,True,True
ai,sg,2022Q3,3843,10283,175,True,True
ai,sg,2022Q4,3908,10626,239,True,True
ai,sg,2023Q1,4324,11417,634,True,True
ai,sg,2023Q2,4497,11938,303,True,True
ai,sg,2023Q3,4568,12152,212,True,True
ai,sg,2023Q4,4702,12644,286,True,True
ai,sg,2024Q1,5015,13721,587,True,True
ai,sg,2024Q2,5147,14206,317,True,True
ai,sg,2024Q3,5271,14775,306,True,True
ai,sg,2024Q4,5382,15358,319,True,True
biomed,hk,2015Q1,3722,8717,3722,False,False
biomed,hk,2015Q2,5920,15243,2198,False,False
biomed,hk,2015Q3,7728,20471,1808,False,False
biomed,hk,2015Q4,9350,25751,1622,False,False
biomed,hk,2016Q1,11549,32568,2199,False,False
biomed,hk,2016Q2,13053,37517,1504,False,False
biomed,hk,2016Q3,14417,41874,1364,False,False
biomed,hk,2016Q4,15832,46844,1415,False,False
biomed,hk,2017Q1,17675,52892,1843,False,False
biomed,hk,2017Q2,19156,57694,1481,False,False
biomed,hk,2017Q3,20482,62483,1326,False,False
biomed,hk,2017Q4,21683,67119,1201,False,True
biomed,hk,2018Q1,21905,69129,1593,True,True
biomed,hk,2018Q2,22132,70600,1249,True,True
biomed,hk,2018Q3,22432,72302,1288,True,True
biomed,hk,2018Q4,22699,74125,1212,True,True
biomed,hk,2019Q1,22837,76359,1546,True,True
biomed,hk,2019Q2,23160,78560,1307,True,True
biomed,hk,2019Q3,23617,80962,1374,True,True
biomed,hk,2019Q4,23898,82976,1259,True,True
biomed,hk,2020Q1,24746,87956,2216,True,True
biomed,hk,2020Q2,25683,93146,1957,True,True
biomed,hk,2020Q3,26472,97923,1730,True,True
biomed,hk,2020Q4,27060,101290,1477,True,True
biomed,hk,2021Q1,28054,107056,2136,True,True
biomed,hk,2021Q2,28730,110294,1631,True,True
biomed,hk,2021Q3,29167,113442,1538,True,True
biomed,hk,2021Q4,29828,117024,1559,True,True
biomed,hk,2022Q1,31247,122890,2512,True,True
biomed,hk,2022Q2,32151,126246,1897,True,True
biomed,hk,2022Q3,33147,130311,2067,True,True
biomed,hk,2022Q4,34252,134208,2047,True,True
biomed,hk,2023Q1,35195,139068,2579,True,True
biomed,hk,2023Q2,35566,140888,1898,True,True
biomed,hk,2023Q3,35794,142362,1695,True,True
biomed,hk,2023Q4,36336,144836,1859,True,True
biomed,hk,2024Q1,37234,147057,2587,True,True
biomed,hk,2024Q2,38031,150477,2179,True,True
biomed,hk,2024Q3,38843,153457,2125,True,True
biomed,hk,2024Q4,39612,156702,2034,True,True
biomed,sg,2015Q1,4295,10121,4295,False,False
biomed,sg,2015Q2,7126,18322,2831,False,False
biomed,sg,2015Q3,9427,24662,2301,False,False
biomed,sg,2015Q4,11464,30729,2037,False,False
biomed,sg,2016Q1,13927,38154,2463,False,False
biomed,sg,2016Q2,15807,44059,1880,False,False
biomed,sg,2016Q3,17549,49532,1742,False,False
