industry,city,period,works,works_with_cnp,top10_works,top10_share,top1_works,top1_share,cnp_coverage
ai,hk,2015Q1,231,210,59,0.280952,10,0.047619,0.9091
ai,hk,2015Q2,99,91,47,0.516484,9,0.098901,0.9192
ai,hk,2015Q3,98,88,43,0.488636,8,0.090909,0.8980
ai,hk,2015Q4,106,102,37,0.362745,8,0.078431,0.9623
ai,hk,2016Q1,190,172,71,0.412791,9,0.052326,0.9053
ai,hk,2016Q2,97,87,54,0.620690,9,0.103448,0.8969
ai,hk,2016Q3,113,99,49,0.494949,10,0.101010,0.8761
ai,hk,2016Q4,100,90,29,0.322222,3,0.033333,0.9000
ai,hk,2017Q1,269,251,83,0.330677,13,0.051793,0.9331
ai,hk,2017Q2,113,97,35,0.360825,4,0.041237,0.8584
ai,hk,2017Q3,134,128,61,0.476562,6,0.046875,0.9552
ai,hk,2017Q4,143,127,53,0.417323,8,0.062992,0.8881
ai,hk,2018Q1,281,250,88,0.352000,15,0.060000,0.8897
ai,hk,2018Q2,172,151,64,0.423841,7,0.046358,0.8779
ai,hk,2018Q3,143,117,46,0.393162,6,0.051282,0.8182
ai,hk,2018Q4,142,120,44,0.366667,5,0.041667,0.8451
ai,hk,2019Q1,320,266,116,0.436090,7,0.026316,0.8313
ai,hk,2019Q2,183,139,63,0.453237,11,0.079137,0.7596
ai,hk,2019Q3,237,180,69,0.383333,10,0.055556,0.7595
ai,hk,2019Q4,217,164,59,0.359756,7,0.042683,0.7558
ai,hk,2020Q1,469,404,130,0.321782,25,0.061881,0.8614
ai,hk,2020Q2,289,232,100,0.431034,18,0.077586,0.8028
ai,hk,2020Q3,227,173,72,0.416185,8,0.046243,0.7621
ai,hk,2020Q4,275,209,68,0.325359,8,0.038278,0.7600
ai,hk,2021Q1,491,430,149,0.346512,13,0.030233,0.8758
ai,hk,2021Q2,381,290,133,0.458621,19,0.065517,0.7612
ai,hk,2021Q3,263,214,78,0.364486,4,0.018692,0.8137
ai,hk,2021Q4,312,273,90,0.329670,9,0.032967,0.8750
ai,hk,2022Q1,551,480,190,0.395833,21,0.043750,0.8711
ai,hk,2022Q2,319,296,126,0.425676,20,0.067568,0.9279
ai,hk,2022Q3,278,260,82,0.315385,8,0.030769,0.9353
ai,hk,2022Q4,311,291,71,0.243986,13,0.044674,0.9357
ai,hk,2023Q1,721,633,210,0.331754,23,0.036335,0.8779
ai,hk,2023Q2,443,396,171,0.431818,42,0.106061,0.8939
ai,hk,2023Q3,357,328,112,0.341463,12,0.036585,0.9188
ai,hk,2023Q4,458,414,129,0.311594,16,0.038647,0.9039
ai,hk,2024Q1,871,765,322,0.420915,61,0.079739,0.8783
ai,hk,2024Q2,498,476,214,0.449580,34,0.071429,0.9558
ai,hk,2024Q3,505,475,171,0.360000,22,0.046316,0.9406
ai,hk,2024Q4,575,538,146,0.271375,16,0.029740,0.9357
ai,sg,2015Q1,312,292,104,0.356164,23,0.078767,0.9359
ai,sg,2015Q2,148,140,73,0.521429,15,0.107143,0.9459
ai,sg,2015Q3,146,141,72,0.510638,14,0.099291,0.9658
ai,sg,2015Q4,176,156,65,0.416667,13,0.083333,0.8864
ai,sg,2016Q1,365,331,152,0.459215,26,0.078550,0.9068
ai,sg,2016Q2,176,160,91,0.568750,15,0.093750,0.9091
ai,sg,2016Q3,184,160,82,0.512500,16,0.100000,0.8696
ai,sg,2016Q4,175,159,67,0.421384,10,0.062893,0.9086
ai,sg,2017Q1,330,294,109,0.370748,16,0.054422,0.8909
ai,sg,2017Q2,143,118,44,0.372881,6,0.050847,0.8252
ai,sg,2017Q3,173,154,68,0.441558,9,0.058442,0.8902
ai,sg,2017Q4,222,205,73,0.356098,9,0.043902,0.9234
ai,sg,2018Q1,346,299,103,0.344482,17,0.056856,0.8642
ai,sg,2018Q2,212,185,78,0.421622,15,0.081081,0.8726
ai,sg,2018Q3,203,174,70,0.402299,8,0.045977,0.8571
ai,sg,2018Q4,237,205,64,0.312195,6,0.029268,0.8650
ai,sg,2019Q1,406,347,124,0.357349,19,0.054755,0.8547
ai,sg,2019Q2,220,164,67,0.408537,17,0.103659,0.7455
