industry,city,period,works,works_with_cnp,top10_works,top10_share,top1_works,top1_share,cnp_coverage
ai,hk,2015,534,491,186,0.378819,35,0.071283,0.9195
ai,hk,2016,500,448,203,0.453125,31,0.069196,0.8960
ai,hk,2017,659,603,232,0.384743,31,0.051410,0.9150
ai,hk,2018,738,638,242,0.379310,33,0.051724,0.8645
ai,hk,2019,957,749,307,0.409880,35,0.046729,0.7827
ai,hk,2020,1260,1018,370,0.363458,59,0.057957,0.8079
ai,hk,2021,1447,1207,450,0.372825,45,0.037283,0.8341
ai,hk,2022,1459,1327,469,0.353429,62,0.046722,0.9095
ai,hk,2023,1979,1771,622,0.351214,93,0.052513,0.8949
ai,hk,2024,2449,2254,853,0.378438,133,0.059006,0.9204
ai,sg,2015,782,729,314,0.430727,65,0.089163,0.9322
ai,sg,2016,900,810,392,0.483951,67,0.082716,0.9000
ai,sg,2017,868,771,294,0.381323,40,0.051881,0.8882
ai,sg,2018,998,863,315,0.365006,46,0.053302,0.8647
ai,sg,2019,1192,966,363,0.375776,60,0.062112,0.8104
ai,sg,2020,1485,1173,419,0.357204,90,0.076726,0.7899
ai,sg,2021,1676,1382,475,0.343705,75,0.054269,0.8246
ai,sg,2022,1583,1430,494,0.345455,74,0.051748,0.9033
ai,sg,2023,1968,1744,604,0.346330,82,0.047018,0.8862
ai,sg,2024,2169,2028,756,0.372781,104,0.051282,0.9350
biomed,hk,2015,5588,5249,1373,0.261574,189,0.036007,0.9393
biomed,hk,2016,5971,5620,1674,0.297865,223,0.039680,0.9412
biomed,hk,2017,6253,5791,1490,0.257296,234,0.040408,0.9261
biomed,hk,2018,6665,5959,1613,0.270683,211,0.035409,0.8941
biomed,hk,2019,7470,6591,1956,0.296768,295,0.044758,0.8823
biomed,hk,2020,10082,8416,2544,0.302281,460,0.054658,0.8348
biomed,hk,2021,10185,8669,2463,0.284116,364,0.041989,0.8512
biomed,hk,2022,11363,9418,2816,0.299002,391,0.041516,0.8288
biomed,hk,2023,11123,8970,2809,0.313155,403,0.044928,0.8064
biomed,hk,2024,11060,9468,3067,0.323933,484,0.051120,0.8561
biomed,sg,2015,6428,5863,1656,0.282449,253,0.043152,0.9121
biomed,sg,2016,6850,6271,2016,0.321480,326,0.051985,0.9155
biomed,sg,2017,7180,6547,1748,0.266993,276,0.042157,0.9118
biomed,sg,2018,7496,6550,1705,0.260305,294,0.044885,0.8738
biomed,sg,2019,8451,7050,1939,0.275035,308,0.043688,0.8342
biomed,sg,2020,10266,8590,2312,0.269150,396,0.046100,0.8367
biomed,sg,2021,10080,8483,2124,0.250383,356,0.041966,0.8416
biomed,sg,2022,9667,7933,2071,0.261061,346,0.043615,0.8206
biomed,sg,2023,9932,7933,2157,0.271902,365,0.046010,0.7987
biomed,sg,2024,10220,8543,2483,0.290647,445,0.052089,0.8359
fintech_kw,hk,2015,12,8,5,0.625000,2,0.250000,0.6667
fintech_kw,hk,2016,21,16,8,0.500000,3,0.187500,0.7619
fintech_kw,hk,2017,36,25,11,0.440000,5,0.200000,0.6944
fintech_kw,hk,2018,61,44,31,0.704545,12,0.272727,0.7213
fintech_kw,hk,2019,115,87,53,0.609195,15,0.172414,0.7565
fintech_kw,hk,2020,140,94,58,0.617021,15,0.159574,0.6714
fintech_kw,hk,2021,199,150,73,0.486667,17,0.113333,0.7538
fintech_kw,hk,2022,203,163,86,0.527607,26,0.159509,0.8030
fintech_kw,hk,2023,331,286,140,0.489510,31,0.108392,0.8640
fintech_kw,hk,2024,316,267,121,0.453184,18,0.067416,0.8449
fintech_kw,sg,2015,19,17,12,0.705882,3,0.176471,0.8947
fintech_kw,sg,2016,17,11,5,0.454545,3,0.272727,0.6471
fintech_kw,sg,2017,44,31,14,0.451613,6,0.193548,0.7045
fintech_kw,sg,2018,76,55,32,0.581818,12,0.218182,0.7237
fintech_kw,sg,2019,94,61,29,0.475410,11,0.180328,0.6489
fintech_kw,sg,2020,160,108,66,0.611111,20,0.185185,0.6750
fintech_kw,sg,2021,155,125,64,0.512000,13,0.104000,0.8065
fintech_kw,sg,2022,173,132,60,0.454545,14,0.106061,0.7630
fintech_kw,sg,2023,227,189,83,0.439153,18,0.095238,0.8326
fintech_kw,sg,2024,230,186,84,0.451613,21,0.112903,0.8087
