industry,city,year,tier,local_works,global_works,share
ai,hk,2015,core,0,65,0.00000000
ai,hk,2015,sensitivity,0,0,
ai,hk,2016,core,0,96,0.00000000
ai,hk,2016,sensitivity,0,0,
ai,hk,2017,core,4,76,0.05263158
ai,hk,2017,sensitivity,0,0,
ai,hk,2018,core,1,78,0.01282051
ai,hk,2018,sensitivity,0,0,
ai,hk,2019,core,2,63,0.03174603
ai,hk,2019,sensitivity,0,0,
ai,hk,2020,core,9,111,0.08108108
ai,hk,2020,sensitivity,0,0,
ai,hk,2021,core,9,159,0.05660377
ai,hk,2021,sensitivity,0,0,
ai,hk,2022,core,16,177,0.09039548
ai,hk,2022,sensitivity,0,0,
ai,hk,2023,core,17,194,0.08762887
ai,hk,2023,sensitivity,1,0,
ai,hk,2024,core,18,176,0.10227273
ai,hk,2024,sensitivity,0,0,
ai,sg,2015,core,2,65,0.03076923
ai,sg,2015,sensitivity,0,0,
ai,sg,2016,core,0,96,0.00000000
ai,sg,2016,sensitivity,0,0,
ai,sg,2017,core,2,76,0.02631579
ai,sg,2017,sensitivity,0,0,
ai,sg,2018,core,2,78,0.02564103
ai,sg,2018,sensitivity,0,0,
ai,sg,2019,core,3,63,0.04761905
ai,sg,2019,sensitivity,0,0,
ai,sg,2020,core,6,111,0.05405405
ai,sg,2020,sensitivity,0,0,
ai,sg,2021,core,2,159,0.01257862
ai,sg,2021,sensitivity,0,0,
ai,sg,2022,core,13,177,0.07344633
ai,sg,2022,sensitivity,0,0,
ai,sg,2023,core,24,194,0.12371134
ai,sg,2023,sensitivity,0,0,
ai,sg,2024,core,18,176,0.10227273
ai,sg,2024,sensitivity,0,0,
biomed,hk,2015,core,49,9733,0.00503442
biomed,hk,2015,sensitivity,0,0,
biomed,hk,2016,core,50,9527,0.00524824
biomed,hk,2016,sensitivity,0,20,0.00000000
biomed,hk,2017,core,48,8772,0.00547196
biomed,hk,2017,sensitivity,2,137,0.01459854
biomed,hk,2018,core,51,8964,0.00568942
biomed,hk,2018,sensitivity,1,170,0.00588235
biomed,hk,2019,core,52,8699,0.00597770
biomed,hk,2019,sensitivity,0,265,0.00000000
biomed,hk,2020,core,106,8850,0.01197740
biomed,hk,2020,sensitivity,4,435,0.00919540
biomed,hk,2021,core,60,8070,0.00743494
biomed,hk,2021,sensitivity,14,557,0.02513465
biomed,hk,2022,core,80,7478,0.01069805
biomed,hk,2022,sensitivity,9,639,0.01408451
biomed,hk,2023,core,104,7612,0.01366264
biomed,hk,2023,sensitivity,3,633,0.00473934
biomed,hk,2024,core,99,8074,0.01226158
biomed,hk,2024,sensitivity,11,699,0.01573677
biomed,sg,2015,core,87,9733,0.00893866
biomed,sg,2015,sensitivity,0,0,
biomed,sg,2016,core,92,9527,0.00965676
biomed,sg,2016,sensitivity,0,20,0.00000000
biomed,sg,2017,core,91,8772,0.01037392
biomed,sg,2017,sensitivity,2,137,0.01459854
biomed,sg,2018,core,89,8964,0.00992860
biomed,sg,2018,sensitivity,3,170,0.01764706
biomed,sg,2019,core,97,8699,0.01115071
biomed,sg,2019,sensitivity,10,265,0.03773585
biomed,sg,2020,core,130,8850,0.01468927
biomed,sg,2020,sensitivity,8,435,0.01839080
biomed,sg,2021,core,103,8070,0.01276332
biomed,sg,2021,sensitivity,10,557,0.01795332
biomed,sg,2022,core,101,7478,0.01350629
biomed,sg,2022,sensitivity,18,639,0.02816901
biomed,sg,2023,core,126,7612,0.01655281
biomed,sg,2023,sensitivity,7,633,0.01105845
biomed,sg,2024,core,113,8074,0.01399554
biomed,sg,2024,sensitivity,22,699,0.03147353
