name,industry,listing_chapter,listing_date,quarter,hk_substantive,hq_location,evidence_url,reviewer,review_date,notes
歌礼制药-B,biomed,18A,2018-08-01,2018Q3,0,杭州,https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0720/ltn20180720034_c.pdf,賈贇,2026-09-17,"招股書（䈎91）寫明公司總部在杭州
歷年報吿都指出工廠與大部分員工都於杭州"
百济神州,biomed,18A,2018-08-08,2018Q3,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0730/ltn20180730006_c.pdf,賈贇,2026-09-17,招股書（䈎153）寫明公司總部在北京
华领医药-B,biomed,18A,2018-09-14,2018Q3,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0831/ltn20180831038_c.pdf,賈贇,2026-09-17,招股書（䈎100）寫明公司總部在上海
信达生物,biomed,18A,2018-10-31,2018Q4,0,蘇州,https://www1.hkexnews.hk/listedco/listconews/sehk/2018/1018/ltn20181018028_c.pdf,賈贇,2026-09-17,招股書（䈎146）寫明公司中國總部在蘇州
君实生物,biomed,18A,2018-12-24,2018Q4,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2018/1211/ltn20181211022_c.pdf,賈贇,2026-09-17,招股書（䈎121）寫明公司總部在上海
基石药业-B,biomed,18A,2019-02-26,2019Q1,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2019/0214/ltn20190214042_c.pdf,賈贇,2026-09-17,招股書（䈎158）寫明公司總部在上海
康希诺生物,biomed,18A,2019-03-28,2019Q1,0,天津,https://www1.hkexnews.hk/listedco/listconews/sehk/2019/0318/ltn20190318020_c.pdf,賈贇,2026-09-17,招股書（䈎107）寫明公司總部在天津
迈博药业-B,biomed,18A,2019-05-31,2019Q2,0,泰州,https://www1.hkexnews.hk/listedco/listconews/sehk/2019/0520/ltn20190520006_c.pdf,賈贇,2026-09-17,招股書（䈎107）寫明公司總部在泰州
复宏汉霖,biomed,18A,2019-09-25,2019Q3,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2019/0912/2019091200016_c.pdf,賈贇,2026-09-17,招股書（䈎105）寫明公司總辦事處在上海
亚盛医药-B,biomed,18A,2019-10-28,2019Q4,0,蘇州,https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1016/2019101600008_c.pdf,賈贇,2026-09-17,招股書（䈎141）寫明公司總部在蘇州
东曜药业-B,biomed,18A,2019-11-08,2019Q4,0,蘇州,https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1029/2019102900010_c.pdf,賈贇,2026-09-17,招股書（䈎127）寫明公司中國總部在蘇州
中国抗体-B,biomed,18A,2019-11-12,2019Q4,1,香港,"https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1031/2019103100066_c.pdf
https://www.sinomab.com/tc/company-overview.aspx",賈贇,2026-09-17,"招股書未寫明公司總部，但系於香港創立（䈎139）
公司網站上寫明研發基地在香港，生產基地在中國（內地）"
启明医疗-B,biomed,18A,2019-12-10,2019Q4,0,杭州,https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1128/2019112800030_c.pdf,賈贇,2026-09-17,招股書（䈎121）寫明公司中國總部在杭州
康宁杰瑞制药-B,biomed,18A,2019-12-12,2019Q4,0,蘇州,https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1202/2019120200006_c.pdf,賈贇,2026-09-17,招股書（䈎126）寫明公司總部在蘇州
诺诚健华,biomed,18A,2020-03-23,2020Q1,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0311/2020031100036_c.pdf,賈贇,2026-09-17,招股書（䈎139）寫明公司中國總部在北京
康方生物,biomed,18A,2020-04-24,2020Q2,0,中山,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0414/2020041400146_c.pdf,賈贇,2026-09-17,招股書（䈎143）寫明公司總部在中山
沛嘉医疗-B,biomed,18A,2020-05-15,2020Q2,0,蘇州,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0505/2020050500012_c.pdf,賈贇,2026-09-17,招股書（䈎110）寫明公司總部在蘇州
开拓药业-B,biomed,18A,2020-05-22,2020Q2,0,蘇州,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0512/2020051200014_c.pdf,賈贇,2026-09-17,招股書（䈎109）寫明公司中國總辦事處在蘇州
欧康维视生物-B,biomed,18A,2020-07-10,2020Q3,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0629/2020062900094_c.pdf,賈贇,2026-09-17,招股書（䈎136）寫明公司中國總辦事處在上海
永泰生物-B,biomed,18A,2020-07-10,2020Q3,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0629/2020062900020_c.pdf,賈贇,2026-09-17,招股書（䈎115）寫明公司總部在北京
再鼎医药,biomed,18A,2020-09-28,2020Q3,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0917/2020091700026_c.pdf,賈贇,2026-09-17,招股書（䈎194）寫明公司總部在上海
嘉和生物-B,biomed,18A,2020-10-07,2020Q4,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0923/2020092300016_c.pdf,賈贇,2026-09-17,招股書（䈎170）寫明公司總部在上海
云顶新耀-B,biomed,18A,2020-10-09,2020Q4,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0925/2020092500048_c.pdf,賈贇,2026-09-17,招股書（䈎136）寫明公司總辦事處在上海
药明巨诺-B,biomed,18A,2020-11-03,2020Q4,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/1022/2020102200036_c.pdf,賈贇,2026-09-17,招股書（䈎197）寫明公司中國總部在上海
荣昌生物,biomed,18A,2020-11-09,2020Q4,0,煙臺,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/1028/2020102800024_c.pdf,賈贇,2026-09-17,招股書（䈎160）寫明公司總部在煙臺
德琪医药-B,biomed,18A,2020-11-20,2020Q4,0,上海、紹興,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/1109/2020110900008_c.pdf,賈贇,2026-09-17,招股書（䈎180）寫明公司總部及中國主要營業地點在上海、紹興
和铂医药-B,biomed,18A,2020-12-10,2020Q4,,上海、香港,"https://www1.hkexnews.hk/listedco/listconews/sehk/2020/1130/2020113000018_c.pdf
https://www.harbourbiomed.cn/about",賈贇,2026-09-17,招股書（䈎160）僅寫明公司中國營業地點在上海與香港營業地點，未寫明總部，公司官網發展歷程未涉及香港
加科思-B,biomed,18A,2020-12-21,2020Q4,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/1209/2020120900014_c.pdf,賈贇,2026-09-17,招股書（䈎143）寫明公司總部在北京
心通医疗-B,biomed,18A,2021-02-04,2021Q1,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0126/2021012600016_c.pdf,賈贇,2026-09-17,招股書（䈎139）寫明公司總部在上海
贝康医疗-B,biomed,18A,2021-02-08,2021Q1,0,蘇州,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0127/2021012700022_c.pdf,賈贇,2026-09-17,招股書（䈎124）寫明公司中國總部在蘇州
诺辉健康,biomed,18A,2021-02-18,2021Q1,0,杭州,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0205/2021020500018_c.pdf,賈贇,2026-09-18,招股書（䈎178）寫明公司中國總辦事處在杭州
兆科眼科-B,biomed,18A,2021-04-29,2021Q2,0,廣州,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0416/2021041600010_c.pdf,賈贇,2026-09-18,招股書（䈎155）寫明公司中國總部在廣州
科济药业-B,biomed,18A,2021-06-18,2021Q2,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0607/2021060700010_c.pdf,賈贇,2026-09-18,招股書（䈎179）寫明公司總部在上海
归创通桥-B,biomed,18A,2021-07-05,2021Q3,0,杭州,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0622/2021062200010_c.pdf,賈贇,2026-09-18,招股書（䈎159）寫明公司總部在杭州
康诺亚-B,biomed,18A,2021-07-08,2021Q3,0,成都,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0625/2021062500032_c.pdf,賈贇,2026-09-18,招股書（䈎161）寫明公司總部在成都
腾盛博药-B,biomed,18A,2021-07-13,2021Q3,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0630/2021063000046_c.pdf,賈贇,2026-09-18,招股書（䈎200）寫明公司總部在北京
心玮医疗-B,biomed,18A,2021-08-20,2021Q3,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0810/2021081000016_c.pdf,賈贇,2026-09-18,招股書（䈎133）寫明公司中國總部在上海
先瑞达医疗-B,biomed,18A,2021-08-24,2021Q3,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0812/2021081200018_c.pdf,賈贇,2026-09-18,招股書（䈎128）寫明公司總部在北京
堃博医疗-B,biomed,18A,2021-09-24,2021Q3,0,杭州,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0913/2021091300016_c.pdf,賈贇,2026-09-18,招股書（䈎162）寫明公司總部在杭州
创胜集团-B,biomed,18A,2021-09-29,2021Q3,0,蘇州,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0914/2021091400016_c.pdf,賈贇,2026-09-18,招股書（䈎163）寫明公司總部在蘇州
和誉-B,biomed,18A,2021-10-13,2021Q4,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0930/2021093000018_c.pdf,賈贇,2026-09-18,招股書（䈎169）寫明公司總部在上海
微泰医疗-B,biomed,18A,2021-10-19,2021Q4,0,杭州,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1006/2021100600008_c.pdf,賈贇,2026-09-18,招股書（䈎142）寫明公司總部在杭州
微创机器人-B,biomed,18A,2021-11-02,2021Q4,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1021/2021102100012_c.pdf,賈贇,2026-09-18,招股書（䈎112）寫明公司中國總部在上海
三叶草生物-B,biomed,18A,2021-11-05,2021Q4,0,成都,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1025/2021102500008_c.pdf,賈贇,2026-09-18,招股書（䈎188）寫明公司總部在成都
鹰瞳科技-B,biomed,18A,2021-11-05,2021Q4,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1026/2021102600004_c.pdf,賈贇,2026-09-18,招股書（䈎126）寫明公司中國的總部在北京
北海康成-B,biomed,18A,2021-12-10,2021Q4,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1130/2021113000014_c.pdf,賈贇,2026-09-18,招股書（䈎187）寫明公司總部在北京
百心安-B,biomed,18A,2021-12-23,2021Q4,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1213/2021121300026_c.pdf,賈贇,2026-09-18,招股書（䈎131）寫明公司總部在上海
圣诺医药-B,biomed,18A,2021-12-30,2021Q4,0,蘇州、美國蓋瑟斯堡,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1220/2021122000008_c.pdf,賈贇,2026-09-18,招股書（䈎178）寫明公司中國總部在蘇州，美國總部在蓋瑟斯堡
乐普生物-B,biomed,18A,2022-02-23,2022Q1,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0210/2022021000014_c.pdf,賈贇,2026-09-18,招股書（䈎177）寫明公司總辦事處在上海
瑞科生物-B,biomed,18A,2022-03-31,2022Q1,0,泰州,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0321/2022032100026_c.pdf,賈贇,2026-09-18,招股書（䈎148）寫明公司中國總部在泰州
润迈德-B,biomed,18A,2022-07-08,2022Q3,0,廣州,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0627/2022062700022_c.pdf,賈贇,2026-09-18,招股書（䈎141）寫明公司總部在廣州
百奥赛图-B,biomed,18A,2022-09-01,2022Q3,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0819/2022081900022_c.pdf,賈贇,2026-09-18,招股書（䈎167）寫明公司總辦事處在北京
健世科技-B,biomed,18A,2022-10-10,2022Q4,0,寧波,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0923/2022092300018_c.pdf,賈贇,2026-09-18,招股書（䈎128）寫明公司總部在寧波
3D MEDICINES,biomed,18A,2022-12-15,2022Q4,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1129/2022112900014_c.pdf,賈贇,2026-09-18,招股書（䈎191）寫明公司總部在上海
博安生物,biomed,18A,2022-12-30,2022Q4,0,煙臺,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1219/2022121900010_c.pdf,賈贇,2026-09-18,招股書（䈎165）寫明公司中國總部在上海煙臺
