assignee,sector
1 AGENCY FOR SCIENCE TECH AND RESEARCH,public_rd
1 AGENCY FOR SCIENCE TECHNOLOGY AND RESEARCH,public_rd
1BSTORIES PTE LTD,company
1CITADEL PTE LTD,company
1EXCHANGE PTE LTD,company
23 IKIGAI PTE LTD,company
23IKIGAI PTE LTD,company
365 TECH HOLDING LIMITED,company
365 TECH HOLDING LTD,company
365 TECHNOLOGIES HOLDING LTD,company
3D IM PTE LTD,company
5GEN CARE LTD,company
6J BIOTECHNOLOGY HONG KONG LTD,company
6J BIOTECHNOLOGY LTD,company
7 TRINITY BIOTECH PTE LTD,company
A & B HK COMPANY LTD,company
A MENARINI BIOMARKERS SINGAPORE PTE LTD,company
AAC OPTICS SOLUTIONS PTE LTD,company
AAC TECHNOLOGIES PTE LTD,company
AACHEN SCIENT INT PTE LTD,company
AACHEN SCIENT INTERNATIONAL PTE LTD,company
AASTAR PTE LTD,company
ABBVIE OPERATIONS SINGAPORE PTE LTD,company
ABM RESPIRATORY CARE PTE LTD,company
ACCRO BIOSCIENCE HK,company
ACCRO BIOSCIENCE HK LTD,company
ACE COMMUNICATIONS LTD,company
ACERAND THERAPEUTICS HONG KONG LTD,company
ACHIEVER TECH LTD,company
ACHROMAZ PTE LTD,company
ACI MEDICAL PTE LTD,company
ACK3 BIONETICS PTE LTD,company
ACM BIOLABS PTE LTD,company
ACOUSTIC ARC INTERNATIONAL LTD,company
ACSYS HOLDINGS LTD,company
ACT GENOMICS IP CO LTD,company
ACT GENOMICS IP LTD,company
ACTIVE INTELLIGENCE PTE LTD,company
ACTIVWELL LTD,company
ACTYWELL DIGITAL LTD,company
ACUMEN RES LABORATORIES PTE LTD,company
ADAGENE PTE LTD,company
ADVANCE ELECTRONIC AND MEDICAL IND COMPANY LTD,company
ADVANCE ELECTRONIC AND MEDICAL INDUSTRIES COMPANY LTD,company
ADVANCED ANALYZER TECH PTE LTD,company
ADVANCED APPLIED TECH LTD,company
ADVANCED BIO MACHINES PTE LTD,company
ADVANCED BIOMEDICAL INSTRUMENTATION CENTRE LTD,company
ADVANCED CELL THERAPEUTICS PTE LTD,company
ADVANCED ELECTROACOUSTIC PTE LTD,company
ADVANCED FIRST AID RES PTE LTD,company
ADVANCED INSTR PTE LTD,company
ADVANCED MEDTECH CORP PTE LTD,company
ADVANCED NOVA TECH SINGAPORE HOLDING PTE LTD,company
ADVANCED OPHTHALMIC INNOVATIONS PTE LTD,company
ADVANIDE HOLDINGS PTE LTD,company
ADVANTEK SERUM LABORATORIES LTD,company
ADVENT ACCESS PTE LTD,company
AEA INT HOLDINGS PTE LTD,company
AEM SINGAPORE PTE LTD,company
AENCO TECH LIMITED,company
AENEAS TECH LIMITED,company
AEOLUS ROBOTICS CORPORATION LTD,company
AES GLOBAL HOLDINGS PTE LTD,company
AEVICE HEALTH PTE LTD,company
AFFINIDI PTE LTD,company
AFFLE INT PTE LTD,company
AGENCY FOR SCIENCE RESEARCH AND TECH,public_rd
AGENCY FOR SCIENCE TECH,public_rd
AGENCY FOR SCIENCE TECH & RESEARCH,public_rd
AGENCY FOR SCIENCE TECH AND RES (A*STAR),public_rd
AGENCY FOR SCIENCE TECH AND RESEARCH (A*STAR),public_rd
AGENCY FOR SCIENCE TECH AND RESEARCH A*STAR,public_rd
AGENCY FOR SCIENCE TECH AND RESEARCH ASTAR,public_rd
AGENCY FOR SCIENCE TECH AND RESEARCH ASTARSTAR,public_rd
AGENCY FOR SCIENCE TECH AND RESEARCH ASTARSTAR],public_rd
AGENCY FOR SCIENCE TECH AND RESEARCH “ASTARSTAR”,public_rd
AGENCY FOR SCIENCE TECH ANO RESEARCH,public_rd
AGENCY FOR SCIENCE TECH END RESEARCH,public_rd
AGENCY FOR SCIENCE TECH TECH AND RESEARCH,public_rd
AGENCY FOR SCIENCE TECHNOLOGY AND RESEARCH ASTARSTAR,public_rd
AGENCY FOR SCIENCE TECHNOLOGY AND RESEARCH ASTARSTAR],public_rd
AGENCY FOR SCIENCE TECNOLOGY RES,public_rd
AGENCY OR SCIENCE TECH AND RES,public_rd
AGENCY SCIENCE TECH & RES,public_rd
AGILIS ROBOTICS LTD,company
AGILITECH LTD,company
AGRI-FOOD & VETERINARY AUTHORITY OF SINGAPORE,public_rd
AGRONOSIS PTE LTD,company
AI BIOMATERIAL HEALTHTECH LTD,company
AI GUIDED LTD,company
AI KAIGO PTE LTD,company
AI MNEMONIC LTD,company
AI PALETTE PTE LTD,company
AI ROBOTICS LTD,company
AI SEER PTE LTD,company
AIM BIOTECH PTE LTD,company
AIMAZING PTE LTD,company
AIMITARI RES PTE LTD,company
AIO TECH RESERVE PTE LTD,company
AIOZ PTE LTD,company
AIPARC HOLDINGS PTE LTD,company
AIQ PTE LTD,company
AIRBUS SINGAPORE PRIVATE LTD,company
AIRES INVESTMENT HOLDINGS PRIVATE LTD,company
AIRPORT AUTHORITY,public_rd
AITREAT PTE LTD,company
AKRIBIS SYSTEMS PTE LTD,company
AKUNAH REFLECT PRIVATE LTD,company
AL SEER PTE LTD,company
ALAMAK BIOSCIENCES INCORPORATION COMPANY LTD,company
ALBATROZ THERAPEUTICS PTE LTD,company
ALBAUGH ASIA PACIFIC LTD,company
ALBIUS SCIENCES ALPHA PRIVATE LTD,company
ALCOLEAR LTD,company
ALEBUND PHARMACEUTICALS HONG KONG LTD,company
ALECTRONA PTE LTD,company
ALEPHOSON BIOPHARMACEUTICALS LTD,company
ALEXANDRA HEALTH PTE LTD,company
ALGAE GLOBAL CENTER PTE LTD,company
ALIBABA GROUP SERVICES LTD,company
ALIBABA INNOVATION PRIVATE LTD,company
ALIBABA SINGAPORE HOLDING PRIVATE LTD,company
ALIPAY LABS SINGAPORE PTE LTD,company
ALIS PHARMA LTD,company
ALMENDRA PTE LTD,company
ALPACA RES PTE LTD,company
ALPARC HOLDINGS PTE LTD,company
ALPHA AI TECH LIMITED,company
ALPHA DIRECT INSURTECH PTE LTD,company
ALPHACON NETWORK FOUND LTD,company
ALPHATECH INTERNATIONAL LTD,company
ALTELLE PTE LTD,company
ALTERNATIVE CAPITAL SOLUTIONS PTE LTD,company
AMARANTH MEDICAL PTE,company
AMARIS AI PTE LTD,company
AMARISAI PTE LTD,company
AMC FUTURE TECH PTE LTD,company
AMCURE BIOSCIENCES PTE LTD,company
AMKOR TECH SINGAPORE HOLDING PTE,company
AMKOR TECH SINGAPORE HOLDING PTE LTD,company
AMORV IP COMPANY LTD,company
AMPLE SUSTAINABLE BRANDS PTE LTD,company
AMS OSRAM ASIA PACIFIC PTE LTD,company
AMS SENSORS ASIA PTE LTD,company
AMS SENSORS SINGAPORE PTE LTD,company
AMT PTE LTD,company
AMVAC HONG KONG LTD,company
AMWISE DIAGNOSTICS PTE LTD,company
ANGITIA BIOMEDICINES LTD,company
ANGSANA MOLECULAR AND DIAGNOSTICS LABORATORY PTE LTD,company
ANIWEAR COMPANY LTD,company
ANKON TECHNOLOGIES CO LTD,company
ANOR TECH PTE LTD,company
ANR DESIGN ENG PTE LTD,company
ANTCHAIN TECH PTE LTD,company
ANTENGENE BIOLOGICS LTD,company
ANTENGENE DISCOVERY LTD,company
ANTENGENE THERAPEUTICS LTD,company
ANTPOOL TECH LIMITED,company
ANTS INNOVATE PTE LTD,company
ANTS TECH (HK) LIMITED,company
ANTS TECH (HK) LTD,company
ANTS TECH HK LIMITED,company
ANX ANX IP HOLDING PTE LTD,company
ANX IIP HOLDING PTE LTD,company
ANX IP HOLDING PTE LTD,company
ANXIP HOLDING PTE LTD,company
AOK TOOLING LTD,company
AON GLOBAL OPERATIONS LTD (SINGAPORE BRANCH) (REG T12FC0122F),company
AON GLOBAL OPERATIONS LTD SINGAPORE BRANCH,company
AON GLOBAL OPERATIONS LTD SINGAPORE BRANCH REG T12FC0122F,company
AON GLOBAL OPERATIONS PLC SINGAPORE BRANCH,company
AON GLOBAL OPERATIONS SE SINGAPORE BRANCH,company
AON SINGAPORE CENTRE FOR INNOVATION STRATEGY AND MAN PTE LTD,public_rd
AON SINGAPORE CENTRE FOR INNOVTION STRATEGY AND MAN,public_rd
AP INFOSENSE LTD,company
APEIRON TECH PTE LTD,company
APPICINE THERAPEUTICS HK LTD,company
APPLIED ADVANCED TECHNOLOGIES LTD,company
APPLIED BIOPHOTONICS LTD,company
