# 按采集代码确定性重建；已省略 api_key（密钥不入库）与 mailto（不影响计数）。复核方法：点开 URL，核对返回的计数是否等于本表所列行的 count。
row_key	request_url	covers_rows
ai/JMLR	https://api.openalex.org/works?filter=primary_location.source.id%3AS118988714%2Cprimary_topic.subfield.id%3A1702%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
ai/TPAMI	https://api.openalex.org/works?filter=primary_location.source.id%3AS199944782%2Cprimary_topic.subfield.id%3A1702%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/BMJ	https://api.openalex.org/works?filter=primary_location.source.id%3AS4393911389%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Cancer Cell	https://api.openalex.org/works?filter=primary_location.source.id%3AS25671836%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Cell	https://api.openalex.org/works?filter=primary_location.source.id%3AS110447773%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Cell Host & Microbe	https://api.openalex.org/works?filter=primary_location.source.id%3AS207313999%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Cell Metabolism	https://api.openalex.org/works?filter=primary_location.source.id%3AS177533077%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Cell Stem Cell	https://api.openalex.org/works?filter=primary_location.source.id%3AS128124174%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Immunity	https://api.openalex.org/works?filter=primary_location.source.id%3AS199671312%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/JAMA	https://api.openalex.org/works?filter=primary_location.source.id%3AS172573765%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature	https://api.openalex.org/works?filter=primary_location.source.id%3AS137773608%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature Aging	https://api.openalex.org/works?filter=primary_location.source.id%3AS4210214063%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature Biomedical Engineering	https://api.openalex.org/works?filter=primary_location.source.id%3AS2764624792%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature Biotechnology	https://api.openalex.org/works?filter=primary_location.source.id%3AS106963461%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature Cancer	https://api.openalex.org/works?filter=primary_location.source.id%3AS4210236562%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature Genetics	https://api.openalex.org/works?filter=primary_location.source.id%3AS137905309%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature Immunology	https://api.openalex.org/works?filter=primary_location.source.id%3AS41063453%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature Medicine	https://api.openalex.org/works?filter=primary_location.source.id%3AS203256638%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature Metabolism	https://api.openalex.org/works?filter=primary_location.source.id%3AS4210232714%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Nature Methods	https://api.openalex.org/works?filter=primary_location.source.id%3AS127827428%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/New England Journal of Medicine	https://api.openalex.org/works?filter=primary_location.source.id%3AS62468778%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Science	https://api.openalex.org/works?filter=primary_location.source.id%3AS3880285%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Science Immunology	https://api.openalex.org/works?filter=primary_location.source.id%3AS2764653179%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/Science Translational Medicine	https://api.openalex.org/works?filter=primary_location.source.id%3AS24207032%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
biomed/The Lancet	https://api.openalex.org/works?filter=primary_location.source.id%3AS49861241%2Cprimary_topic.field.id%3A27%7C13%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2024-12-31&group_by=publication_year&per_page=200	10
