city,quarter,count
hk,2015Q1,42
hk,2015Q2,42
hk,2015Q3,35
hk,2015Q4,43
hk,2016Q1,44
hk,2016Q2,49
hk,2016Q3,42
hk,2016Q4,51
hk,2017Q1,57
hk,2017Q2,71
hk,2017Q3,70
hk,2017Q4,79
hk,2018Q1,55
hk,2018Q2,56
hk,2018Q3,101
hk,2018Q4,78
hk,2019Q1,84
hk,2019Q2,86
hk,2019Q3,110
hk,2019Q4,84
hk,2020Q1,83
hk,2020Q2,97
hk,2020Q3,96
hk,2020Q4,98
hk,2021Q1,91
hk,2021Q2,108
hk,2021Q3,88
hk,2021Q4,84
hk,2022Q1,95
hk,2022Q2,122
hk,2022Q3,107
hk,2022Q4,88
hk,2023Q1,90
hk,2023Q2,99
hk,2023Q3,77
hk,2023Q4,108
hk,2024Q1,109
hk,2024Q2,120
hk,2024Q3,95
hk,2024Q4,110
sg,2015Q1,44
sg,2015Q2,29
sg,2015Q3,36
sg,2015Q4,45
sg,2016Q1,35
sg,2016Q2,64
sg,2016Q3,42
sg,2016Q4,48
sg,2017Q1,55
sg,2017Q2,63
sg,2017Q3,53
sg,2017Q4,48
sg,2018Q1,62
sg,2018Q2,48
sg,2018Q3,72
sg,2018Q4,61
sg,2019Q1,40
sg,2019Q2,55
sg,2019Q3,62
sg,2019Q4,47
sg,2020Q1,69
sg,2020Q2,67
sg,2020Q3,67
sg,2020Q4,80
sg,2021Q1,63
sg,2021Q2,54
sg,2021Q3,86
sg,2021Q4,61
sg,2022Q1,62
sg,2022Q2,71
sg,2022Q3,69
sg,2022Q4,53
sg,2023Q1,60
sg,2023Q2,54
sg,2023Q3,53
sg,2023Q4,45
sg,2024Q1,54
sg,2024Q2,57
sg,2024Q3,61
sg,2024Q4,60
