institution,ror,year,works_count,cited_by_count
香港大学,02zhqgq86,2015,7276,387179
香港大学,02zhqgq86,2016,7883,328280
香港大学,02zhqgq86,2017,8101,366730
香港大学,02zhqgq86,2018,7937,360772
香港大学,02zhqgq86,2019,9096,355147
香港大学,02zhqgq86,2020,11965,562567
香港大学,02zhqgq86,2021,12414,371304
香港大学,02zhqgq86,2022,15504,308916
香港大学,02zhqgq86,2023,16388,241549
香港大学,02zhqgq86,2024,18722,176835
香港大学,02zhqgq86,2025,20609,80290
香港中文大学,00t33hh48,2015,5668,297709
香港中文大学,00t33hh48,2016,6141,298973
香港中文大学,00t33hh48,2017,6550,367273
香港中文大学,00t33hh48,2018,6884,322628
香港中文大学,00t33hh48,2019,7268,327534
香港中文大学,00t33hh48,2020,9152,420975
香港中文大学,00t33hh48,2021,9979,306951
香港中文大学,00t33hh48,2022,10943,228487
香港中文大学,00t33hh48,2023,12929,194829
香港中文大学,00t33hh48,2024,12394,127111
香港中文大学,00t33hh48,2025,16562,57025
香港科技大学,00q4vv597,2015,2941,168355
香港科技大学,00q4vv597,2016,3281,164348
香港科技大学,00q4vv597,2017,3165,163024
香港科技大学,00q4vv597,2018,3459,173570
香港科技大学,00q4vv597,2019,3882,183345
香港科技大学,00q4vv597,2020,4651,205272
香港科技大学,00q4vv597,2021,4719,152801
香港科技大学,00q4vv597,2022,5339,133064
香港科技大学,00q4vv597,2023,6347,113697
香港科技大学,00q4vv597,2024,7539,97962
香港科技大学,00q4vv597,2025,8579,37526
香港理工大学,0030zas98,2015,4544,158435
香港理工大学,0030zas98,2016,4871,193086
香港理工大学,0030zas98,2017,5345,243370
香港理工大学,0030zas98,2018,5878,266554
香港理工大学,0030zas98,2019,6579,293509
香港理工大学,0030zas98,2020,7599,331941
香港理工大学,0030zas98,2021,8042,269909
香港理工大学,0030zas98,2022,9392,244011
香港理工大学,0030zas98,2023,11049,212538
香港理工大学,0030zas98,2024,13146,163926
香港理工大学,0030zas98,2025,15246,76156
香港城市大学,03q8dnn23,2015,3626,171690
香港城市大学,03q8dnn23,2016,3936,166610
香港城市大学,03q8dnn23,2017,4198,183749
香港城市大学,03q8dnn23,2018,4541,211568
香港城市大学,03q8dnn23,2019,5314,231547
香港城市大学,03q8dnn23,2020,5989,256581
香港城市大学,03q8dnn23,2021,6784,231961
香港城市大学,03q8dnn23,2022,7780,211374
香港城市大学,03q8dnn23,2023,8327,181437
香港城市大学,03q8dnn23,2024,9225,127269
香港城市大学,03q8dnn23,2025,10666,61405
香港浸会大学,0145fw131,2015,1258,52498
香港浸会大学,0145fw131,2016,1416,70852
香港浸会大学,0145fw131,2017,1388,50790
香港浸会大学,0145fw131,2018,1473,50270
香港浸会大学,0145fw131,2019,1600,59192
香港浸会大学,0145fw131,2020,1995,60335
香港浸会大学,0145fw131,2021,2487,72024
香港浸会大学,0145fw131,2022,2935,47062
香港浸会大学,0145fw131,2023,2711,36188
香港浸会大学,0145fw131,2024,2970,24394
香港浸会大学,0145fw131,2025,3646,12587
香港教育大学,000t0f062,2015,638,24366
香港教育大学,000t0f062,2016,825,27196
香港教育大学,000t0f062,2017,834,32821
香港教育大学,000t0f062,2018,837,32537
香港教育大学,000t0f062,2019,967,33134
香港教育大学,000t0f062,2020,1060,35606
香港教育大学,000t0f062,2021,1262,31704
香港教育大学,000t0f062,2022,1428,25425
香港教育大学,000t0f062,2023,1580,23489
香港教育大学,000t0f062,2024,1758,17042
香港教育大学,000t0f062,2025,2325,9627
岭南大学,0563pg902,2015,195,1793
岭南大学,0563pg902,2016,169,2117
岭南大学,0563pg902,2017,149,2643
岭南大学,0563pg902,2018,175,1807
岭南大学,0563pg902,2019,212,1663
岭南大学,0563pg902,2020,217,2591
岭南大学,0563pg902,2021,223,2257
岭南大学,0563pg902,2022,204,1701
岭南大学,0563pg902,2023,392,1653
岭南大学,0563pg902,2024,562,1514
岭南大学,0563pg902,2025,871,1742
香港应用科技研究院,03xmkea05,2015,34,917
香港应用科技研究院,03xmkea05,2016,41,1378
香港应用科技研究院,03xmkea05,2017,35,678
香港应用科技研究院,03xmkea05,2018,46,1620
香港应用科技研究院,03xmkea05,2019,48,961
香港应用科技研究院,03xmkea05,2020,33,934
香港应用科技研究院,03xmkea05,2021,31,580
香港应用科技研究院,03xmkea05,2022,33,671
香港应用科技研究院,03xmkea05,2023,33,361
香港应用科技研究院,03xmkea05,2024,46,333
香港应用科技研究院,03xmkea05,2025,99,430
新加坡国立大学,01tgyzw49,2015,9730,448365
新加坡国立大学,01tgyzw49,2016,10478,502929
新加坡国立大学,01tgyzw49,2017,10630,506617
新加坡国立大学,01tgyzw49,2018,11324,541029
新加坡国立大学,01tgyzw49,2019,12223,547912
新加坡国立大学,01tgyzw49,2020,15542,666144
新加坡国立大学,01tgyzw49,2021,16399,488139
新加坡国立大学,01tgyzw49,2022,15849,392525
新加坡国立大学,01tgyzw49,2023,16260,291206
新加坡国立大学,01tgyzw49,2024,18019,195351
新加坡国立大学,01tgyzw49,2025,19630,84691
南洋理工大学,02e7b5302,2015,7919,381553
南洋理工大学,02e7b5302,2016,8776,409430
南洋理工大学,02e7b5302,2017,8659,447783
南洋理工大学,02e7b5302,2018,9174,431310
南洋理工大学,02e7b5302,2019,9957,439581
南洋理工大学,02e7b5302,2020,10852,441662
南洋理工大学,02e7b5302,2021,10616,352016
南洋理工大学,02e7b5302,2022,11006,277708
南洋理工大学,02e7b5302,2023,11297,209549
南洋理工大学,02e7b5302,2024,12373,157704
南洋理工大学,02e7b5302,2025,13874,66625
