industry,city,quarter,count
ai,hk,2015Q1,233
ai,hk,2015Q2,99
ai,hk,2015Q3,98
ai,hk,2015Q4,106
ai,hk,2016Q1,190
ai,hk,2016Q2,93
ai,hk,2016Q3,111
ai,hk,2016Q4,100
ai,hk,2017Q1,266
ai,hk,2017Q2,113
ai,hk,2017Q3,135
ai,hk,2017Q4,144
ai,hk,2018Q1,285
ai,hk,2018Q2,174
ai,hk,2018Q3,144
ai,hk,2018Q4,143
ai,hk,2019Q1,321
ai,hk,2019Q2,182
ai,hk,2019Q3,237
ai,hk,2019Q4,218
ai,hk,2020Q1,466
ai,hk,2020Q2,290
ai,hk,2020Q3,229
ai,hk,2020Q4,276
ai,hk,2021Q1,484
ai,hk,2021Q2,380
ai,hk,2021Q3,261
ai,hk,2021Q4,310
ai,hk,2022Q1,547
ai,hk,2022Q2,316
ai,hk,2022Q3,277
ai,hk,2022Q4,308
ai,hk,2023Q1,711
ai,hk,2023Q2,442
ai,hk,2023Q3,355
ai,hk,2023Q4,455
ai,hk,2024Q1,867
ai,hk,2024Q2,498
ai,hk,2024Q3,505
ai,hk,2024Q4,574
ai,sg,2015Q1,311
ai,sg,2015Q2,148
ai,sg,2015Q3,146
ai,sg,2015Q4,170
ai,sg,2016Q1,362
ai,sg,2016Q2,175
ai,sg,2016Q3,185
ai,sg,2016Q4,175
ai,sg,2017Q1,329
ai,sg,2017Q2,143
ai,sg,2017Q3,172
ai,sg,2017Q4,221
ai,sg,2018Q1,342
ai,sg,2018Q2,211
ai,sg,2018Q3,201
ai,sg,2018Q4,236
ai,sg,2019Q1,404
ai,sg,2019Q2,220
ai,sg,2019Q3,259
ai,sg,2019Q4,306
ai,sg,2020Q1,537
ai,sg,2020Q2,335
ai,sg,2020Q3,280
ai,sg,2020Q4,324
ai,sg,2021Q1,543
ai,sg,2021Q2,437
ai,sg,2021Q3,354
ai,sg,2021Q4,341
ai,sg,2022Q1,567
ai,sg,2022Q2,333
ai,sg,2022Q3,312
ai,sg,2022Q4,363
ai,sg,2023Q1,713
ai,sg,2023Q2,462
ai,sg,2023Q3,340
ai,sg,2023Q4,428
ai,sg,2024Q1,783
ai,sg,2024Q2,469
ai,sg,2024Q3,412
ai,sg,2024Q4,493
biomed,hk,2015Q1,1444
biomed,hk,2015Q2,1197
biomed,hk,2015Q3,1088
biomed,hk,2015Q4,1161
biomed,hk,2016Q1,1614
biomed,hk,2016Q2,1161
biomed,hk,2016Q3,1154
biomed,hk,2016Q4,1232
biomed,hk,2017Q1,1574
biomed,hk,2017Q2,1273
biomed,hk,2017Q3,1204
biomed,hk,2017Q4,1192
biomed,hk,2018Q1,1578
biomed,hk,2018Q2,1279
biomed,hk,2018Q3,1298
biomed,hk,2018Q4,1278
biomed,hk,2019Q1,1722
biomed,hk,2019Q2,1354
biomed,hk,2019Q3,1576
biomed,hk,2019Q4,1378
biomed,hk,2020Q1,2173
biomed,hk,2020Q2,1948
biomed,hk,2020Q3,1919
biomed,hk,2020Q4,1844
biomed,hk,2021Q1,2633
biomed,hk,2021Q2,1870
biomed,hk,2021Q3,1821
biomed,hk,2021Q4,1925
biomed,hk,2022Q1,3143
biomed,hk,2022Q2,1975
biomed,hk,2022Q3,2056
biomed,hk,2022Q4,2011
biomed,hk,2023Q1,3108
biomed,hk,2023Q2,2005
biomed,hk,2023Q3,1866
biomed,hk,2023Q4,2051
biomed,hk,2024Q1,2659
biomed,hk,2024Q2,2024
biomed,hk,2024Q3,2036
biomed,hk,2024Q4,2238
biomed,sg,2015Q1,1854
biomed,sg,2015Q2,1600
biomed,sg,2015Q3,1459
biomed,sg,2015Q4,1542
biomed,sg,2016Q1,1958
biomed,sg,2016Q2,1618
biomed,sg,2016Q3,1652
biomed,sg,2016Q4,1630
biomed,sg,2017Q1,2028
biomed,sg,2017Q2,1755
biomed,sg,2017Q3,1773
biomed,sg,2017Q4,1628
biomed,sg,2018Q1,2257
biomed,sg,2018Q2,1801
biomed,sg,2018Q3,1761
biomed,sg,2018Q4,1658
biomed,sg,2019Q1,2605
biomed,sg,2019Q2,1779
biomed,sg,2019Q3,1957
biomed,sg,2019Q4,2102
biomed,sg,2020Q1,2756
biomed,sg,2020Q2,2578
biomed,sg,2020Q3,2442
biomed,sg,2020Q4,2467
biomed,sg,2021Q1,3098
biomed,sg,2021Q2,2377
biomed,sg,2021Q3,2213
biomed,sg,2021Q4,2409
biomed,sg,2022Q1,3075
biomed,sg,2022Q2,2208
biomed,sg,2022Q3,2150
biomed,sg,2022Q4,2241
biomed,sg,2023Q1,3081
biomed,sg,2023Q2,2228
biomed,sg,2023Q3,2161
biomed,sg,2023Q4,2427
biomed,sg,2024Q1,2999
biomed,sg,2024Q2,2375
biomed,sg,2024Q3,2233
biomed,sg,2024Q4,2615
fintech_kw,hk,2015Q1,7
fintech_kw,hk,2015Q2,1
fintech_kw,hk,2015Q3,1
fintech_kw,hk,2015Q4,3
fintech_kw,hk,2016Q1,4
fintech_kw,hk,2016Q2,1
fintech_kw,hk,2016Q3,8
fintech_kw,hk,2016Q4,6
fintech_kw,hk,2017Q1,18
fintech_kw,hk,2017Q2,4
fintech_kw,hk,2017Q3,6
fintech_kw,hk,2017Q4,5
fintech_kw,hk,2018Q1,19
fintech_kw,hk,2018Q2,13
fintech_kw,hk,2018Q3,18
fintech_kw,hk,2018Q4,9
fintech_kw,hk,2019Q1,49
fintech_kw,hk,2019Q2,21
fintech_kw,hk,2019Q3,13
fintech_kw,hk,2019Q4,29
fintech_kw,hk,2020Q1,61
fintech_kw,hk,2020Q2,22
fintech_kw,hk,2020Q3,26
fintech_kw,hk,2020Q4,26
fintech_kw,hk,2021Q1,76
fintech_kw,hk,2021Q2,41
fintech_kw,hk,2021Q3,26
fintech_kw,hk,2021Q4,47
fintech_kw,hk,2022Q1,73
fintech_kw,hk,2022Q2,28
fintech_kw,hk,2022Q3,48
fintech_kw,hk,2022Q4,45
fintech_kw,hk,2023Q1,120
fintech_kw,hk,2023Q2,54
fintech_kw,hk,2023Q3,44
fintech_kw,hk,2023Q4,100
fintech_kw,hk,2024Q1,118
fintech_kw,hk,2024Q2,63
fintech_kw,hk,2024Q3,60
fintech_kw,hk,2024Q4,70
fintech_kw,sg,2015Q1,13
fintech_kw,sg,2015Q2,1
fintech_kw,sg,2015Q3,2
fintech_kw,sg,2015Q4,3
fintech_kw,sg,2016Q1,9
fintech_kw,sg,2016Q2,2
fintech_kw,sg,2016Q3,1
fintech_kw,sg,2016Q4,5
fintech_kw,sg,2017Q1,16
fintech_kw,sg,2017Q2,5
fintech_kw,sg,2017Q3,9
fintech_kw,sg,2017Q4,12
fintech_kw,sg,2018Q1,26
fintech_kw,sg,2018Q2,10
fintech_kw,sg,2018Q3,12
fintech_kw,sg,2018Q4,23
fintech_kw,sg,2019Q1,39
fintech_kw,sg,2019Q2,15
fintech_kw,sg,2019Q3,20
fintech_kw,sg,2019Q4,15
fintech_kw,sg,2020Q1,70
fintech_kw,sg,2020Q2,29
fintech_kw,sg,2020Q3,30
fintech_kw,sg,2020Q4,24
fintech_kw,sg,2021Q1,58
fintech_kw,sg,2021Q2,27
fintech_kw,sg,2021Q3,32
fintech_kw,sg,2021Q4,29
fintech_kw,sg,2022Q1,70
fintech_kw,sg,2022Q2,28
fintech_kw,sg,2022Q3,24
fintech_kw,sg,2022Q4,41
fintech_kw,sg,2023Q1,81
fintech_kw,sg,2023Q2,49
fintech_kw,sg,2023Q3,45
fintech_kw,sg,2023Q4,49
fintech_kw,sg,2024Q1,103
fintech_kw,sg,2024Q2,40
fintech_kw,sg,2024Q3,40
fintech_kw,sg,2024Q4,48
