industry,city,quarter,count
ai,hk,2015Q1,152
ai,hk,2015Q2,76
ai,hk,2015Q3,70
ai,hk,2015Q4,80
ai,hk,2016Q1,137
ai,hk,2016Q2,68
ai,hk,2016Q3,76
ai,hk,2016Q4,59
ai,hk,2017Q1,198
ai,hk,2017Q2,87
ai,hk,2017Q3,98
ai,hk,2017Q4,109
ai,hk,2018Q1,217
ai,hk,2018Q2,132
ai,hk,2018Q3,110
ai,hk,2018Q4,100
ai,hk,2019Q1,242
ai,hk,2019Q2,134
ai,hk,2019Q3,172
ai,hk,2019Q4,170
ai,hk,2020Q1,358
ai,hk,2020Q2,216
ai,hk,2020Q3,180
ai,hk,2020Q4,210
ai,hk,2021Q1,358
ai,hk,2021Q2,294
ai,hk,2021Q3,215
ai,hk,2021Q4,234
ai,hk,2022Q1,430
ai,hk,2022Q2,242
ai,hk,2022Q3,229
ai,hk,2022Q4,240
ai,hk,2023Q1,560
ai,hk,2023Q2,360
ai,hk,2023Q3,285
ai,hk,2023Q4,360
ai,hk,2024Q1,701
ai,hk,2024Q2,403
ai,hk,2024Q3,417
ai,hk,2024Q4,459
ai,sg,2015Q1,196
ai,sg,2015Q2,105
ai,sg,2015Q3,93
ai,sg,2015Q4,102
ai,sg,2016Q1,231
ai,sg,2016Q2,120
ai,sg,2016Q3,124
ai,sg,2016Q4,114
ai,sg,2017Q1,224
ai,sg,2017Q2,110
ai,sg,2017Q3,116
ai,sg,2017Q4,141
ai,sg,2018Q1,245
ai,sg,2018Q2,137
ai,sg,2018Q3,132
ai,sg,2018Q4,147
ai,sg,2019Q1,302
ai,sg,2019Q2,153
ai,sg,2019Q3,178
ai,sg,2019Q4,189
ai,sg,2020Q1,403
ai,sg,2020Q2,256
ai,sg,2020Q3,183
ai,sg,2020Q4,215
ai,sg,2021Q1,383
ai,sg,2021Q2,304
ai,sg,2021Q3,228
ai,sg,2021Q4,244
ai,sg,2022Q1,388
ai,sg,2022Q2,233
ai,sg,2022Q3,225
ai,sg,2022Q4,263
ai,sg,2023Q1,516
ai,sg,2023Q2,365
ai,sg,2023Q3,252
ai,sg,2023Q4,315
ai,sg,2024Q1,601
ai,sg,2024Q2,357
ai,sg,2024Q3,335
ai,sg,2024Q4,379
biomed,hk,2015Q1,1061
biomed,hk,2015Q2,899
biomed,hk,2015Q3,820
biomed,hk,2015Q4,903
biomed,hk,2016Q1,1254
biomed,hk,2016Q2,903
biomed,hk,2016Q3,889
biomed,hk,2016Q4,982
biomed,hk,2017Q1,1212
biomed,hk,2017Q2,972
biomed,hk,2017Q3,927
biomed,hk,2017Q4,963
biomed,hk,2018Q1,1243
biomed,hk,2018Q2,1016
biomed,hk,2018Q3,1045
biomed,hk,2018Q4,1071
biomed,hk,2019Q1,1409
biomed,hk,2019Q2,1093
biomed,hk,2019Q3,1225
biomed,hk,2019Q4,1123
biomed,hk,2020Q1,1794
biomed,hk,2020Q2,1583
biomed,hk,2020Q3,1568
biomed,hk,2020Q4,1514
biomed,hk,2021Q1,2211
biomed,hk,2021Q2,1518
biomed,hk,2021Q3,1501
biomed,hk,2021Q4,1601
biomed,hk,2022Q1,2690
biomed,hk,2022Q2,1653
biomed,hk,2022Q3,1724
biomed,hk,2022Q4,1656
biomed,hk,2023Q1,2611
biomed,hk,2023Q2,1625
biomed,hk,2023Q3,1578
biomed,hk,2023Q4,1695
biomed,hk,2024Q1,2207
biomed,hk,2024Q2,1730
biomed,hk,2024Q3,1713
biomed,hk,2024Q4,1893
biomed,sg,2015Q1,1100
biomed,sg,2015Q2,956
biomed,sg,2015Q3,820
biomed,sg,2015Q4,937
biomed,sg,2016Q1,1195
biomed,sg,2016Q2,941
biomed,sg,2016Q3,953
biomed,sg,2016Q4,959
biomed,sg,2017Q1,1231
biomed,sg,2017Q2,1079
biomed,sg,2017Q3,1047
biomed,sg,2017Q4,1036
biomed,sg,2018Q1,1353
biomed,sg,2018Q2,1086
biomed,sg,2018Q3,1096
biomed,sg,2018Q4,1008
biomed,sg,2019Q1,1700
biomed,sg,2019Q2,1119
biomed,sg,2019Q3,1239
biomed,sg,2019Q4,1339
biomed,sg,2020Q1,1754
biomed,sg,2020Q2,1525
biomed,sg,2020Q3,1471
biomed,sg,2020Q4,1544
biomed,sg,2021Q1,1981
biomed,sg,2021Q2,1518
biomed,sg,2021Q3,1404
biomed,sg,2021Q4,1474
biomed,sg,2022Q1,2088
biomed,sg,2022Q2,1408
biomed,sg,2022Q3,1417
biomed,sg,2022Q4,1482
biomed,sg,2023Q1,2127
biomed,sg,2023Q2,1546
biomed,sg,2023Q3,1492
biomed,sg,2023Q4,1658
biomed,sg,2024Q1,2068
biomed,sg,2024Q2,1603
biomed,sg,2024Q3,1540
biomed,sg,2024Q4,1831
