industry,scope,year,count
ai,world,2025,297047
ai,world,2024,240925
ai,world,2023,219096
ai,world,2021,193664
ai,world,2020,192243
ai,world,2022,187401
ai,world,2019,175563
ai,world,2018,156707
ai,world,2017,140709
ai,world,2016,137372
ai,world,2015,126695
ai,apac,2025,104511
ai,apac,2024,84468
ai,apac,2023,73680
ai,apac,2022,61219
ai,apac,2021,56509
ai,apac,2020,48257
ai,apac,2019,40670
ai,apac,2018,34372
ai,apac,2017,28075
ai,apac,2016,25412
ai,apac,2015,25296
biomed,world,2023,2335522
biomed,world,2025,2301134
biomed,world,2020,2204091
biomed,world,2021,2111484
biomed,world,2024,2093079
biomed,world,2022,2038512
biomed,world,2019,1946269
biomed,world,2018,1847936
biomed,world,2017,1815484
biomed,world,2016,1764866
biomed,world,2015,1761052
biomed,apac,2025,693659
biomed,apac,2024,617558
biomed,apac,2023,580479
biomed,apac,2022,574491
biomed,apac,2021,541805
biomed,apac,2020,509010
biomed,apac,2019,428168
biomed,apac,2018,388753
biomed,apac,2017,369997
biomed,apac,2015,340260
biomed,apac,2016,336970
