city,assignee,families
hk,ALIBABA GROUP SERVICES LTD,1052
hk,UNIV CITY HONG KONG,184
hk,UNIV HONG KONG CHINESE,87
hk,UNIV HONG KONG,56
hk,HONG KONG APPLIED SCIENCE & TECH RESEARCH INST CO LTD,55
hk,INSILICO MEDICINE IP LTD,53
hk,CONTEMPORARY AMPEREX TECHNOLOGY HONG KONG LTD,52
hk,UNIV HONG KONG BAPTIST UNIV,49
hk,ROTAM AGROCHEM INT CO LTD,39
hk,VERSITECH LTD,38
hk,ASCENTAGE PHARMA GROUP CORP LTD,36
hk,UNIV HONG KONG POLYTECHNIC,33
hk,NANO & ADVANCED MATERIALS INST LTD,24
hk,PUZHEN LIFE CO LTD,23
hk,TALENGEN INT LTD,21
hk,NORTH & SOUTH BROTHER PHARMACY INVESTMENT CO LTD,18
hk,THUNDER POWER HONG KONG LTD,17
hk,DSG TECHNOLOGY HOLDINGS LTD,16
hk,THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD,16
hk,UNIV HONG KONG SCIENCE & TECH,16
hk,WELL BEING DIGITAL LTD,16
hk,ANTS TECH HK LIMITED,15
hk,LOGISTICS AND SUPPLY CHAIN MULTITECH R&D CENTRE LTD,15
hk,CHOW KI SHUI LOUIE,14
hk,UNIV HONG KONG BAPTIST,14
hk,TELEFIELD MEDICAL IMAGING LTD,13
hk,HEPAGENE THERAPEUTICS HK LTD,12
hk,LUCAS GC LTD,12
hk,AI BIOMATERIAL HEALTHTECH LTD,11
hk,FIH HONG KONG LTD,11
hk,MOFFETT INTERNATIONAL CO LIMITED,11
hk,ASIA PACIFIC MEDICAL TECH DEVELOPMENT COMPANY LTD,10
hk,HIFIBIO HK LTD,10
hk,MOFFETT INTERNATIONAL CO LTD,10
hk,JUPENG BIO HK LTD,9
hk,MOFFETT TECH CO LIMITED,9
hk,ACCRO BIOSCIENCE HK LTD,8
hk,BANMA ZHIXING NETWORK HONGKONG CO LTD,8
hk,BANUBA LTD,8
hk,CAINIAO SMART LOGISTICS NETWORK HONG KONG LTD,8
