industry,city,quarter,patent_families
ai,hk,2015Q1,6
ai,hk,2015Q2,17
ai,hk,2015Q3,19
ai,hk,2015Q4,24
ai,hk,2016Q1,14
ai,hk,2016Q2,12
ai,hk,2016Q3,11
ai,hk,2016Q4,14
ai,hk,2017Q1,53
ai,hk,2017Q2,40
ai,hk,2017Q3,40
ai,hk,2017Q4,38
ai,hk,2018Q1,41
ai,hk,2018Q2,57
ai,hk,2018Q3,59
ai,hk,2018Q4,80
ai,hk,2019Q1,56
ai,hk,2019Q2,53
ai,hk,2019Q3,70
ai,hk,2019Q4,22
ai,hk,2020Q1,16
ai,hk,2020Q2,9
ai,hk,2020Q3,23
ai,hk,2020Q4,25
ai,hk,2021Q1,22
ai,hk,2021Q2,20
ai,hk,2021Q3,15
ai,hk,2021Q4,18
ai,hk,2022Q1,11
ai,hk,2022Q2,12
ai,hk,2022Q3,24
ai,hk,2022Q4,15
ai,hk,2023Q1,33
ai,hk,2023Q2,25
ai,hk,2023Q3,17
ai,hk,2023Q4,29
ai,sg,2015Q1,53
ai,sg,2015Q2,31
ai,sg,2015Q3,34
ai,sg,2015Q4,34
ai,sg,2016Q1,35
ai,sg,2016Q2,22
ai,sg,2016Q3,29
ai,sg,2016Q4,23
ai,sg,2017Q1,41
ai,sg,2017Q2,43
ai,sg,2017Q3,50
ai,sg,2017Q4,23
ai,sg,2018Q1,36
ai,sg,2018Q2,36
ai,sg,2018Q3,42
ai,sg,2018Q4,46
ai,sg,2019Q1,58
ai,sg,2019Q2,48
ai,sg,2019Q3,72
ai,sg,2019Q4,99
ai,sg,2020Q1,99
ai,sg,2020Q2,78
ai,sg,2020Q3,64
ai,sg,2020Q4,83
ai,sg,2021Q1,73
ai,sg,2021Q2,159
ai,sg,2021Q3,100
ai,sg,2021Q4,114
ai,sg,2022Q1,80
ai,sg,2022Q2,110
ai,sg,2022Q3,72
ai,sg,2022Q4,85
ai,sg,2023Q1,88
ai,sg,2023Q2,87
ai,sg,2023Q3,78
ai,sg,2023Q4,77
biomed,hk,2015Q1,45
biomed,hk,2015Q2,43
biomed,hk,2015Q3,42
biomed,hk,2015Q4,52
biomed,hk,2016Q1,41
biomed,hk,2016Q2,44
biomed,hk,2016Q3,53
biomed,hk,2016Q4,44
biomed,hk,2017Q1,36
biomed,hk,2017Q2,54
biomed,hk,2017Q3,53
biomed,hk,2017Q4,45
biomed,hk,2018Q1,37
biomed,hk,2018Q2,45
biomed,hk,2018Q3,40
biomed,hk,2018Q4,51
biomed,hk,2019Q1,47
biomed,hk,2019Q2,55
biomed,hk,2019Q3,41
biomed,hk,2019Q4,55
biomed,hk,2020Q1,38
biomed,hk,2020Q2,45
biomed,hk,2020Q3,58
biomed,hk,2020Q4,56
biomed,hk,2021Q1,54
biomed,hk,2021Q2,62
biomed,hk,2021Q3,61
biomed,hk,2021Q4,49
biomed,hk,2022Q1,46
biomed,hk,2022Q2,44
biomed,hk,2022Q3,56
biomed,hk,2022Q4,64
biomed,hk,2023Q1,58
biomed,hk,2023Q2,43
biomed,hk,2023Q3,45
biomed,hk,2023Q4,49
biomed,sg,2015Q1,107
biomed,sg,2015Q2,90
