industry,city,quarter,patent_families
ai,hk,2015Q1,0
ai,hk,2015Q2,1
ai,hk,2015Q3,0
ai,hk,2015Q4,0
ai,hk,2016Q1,2
ai,hk,2016Q2,1
ai,hk,2016Q3,1
ai,hk,2016Q4,2
ai,hk,2017Q1,3
ai,hk,2017Q2,0
ai,hk,2017Q3,0
ai,hk,2017Q4,2
ai,hk,2018Q1,4
ai,hk,2018Q2,2
ai,hk,2018Q3,0
ai,hk,2018Q4,4
ai,hk,2019Q1,3
ai,hk,2019Q2,0
ai,hk,2019Q3,4
ai,hk,2019Q4,2
ai,hk,2020Q1,4
ai,hk,2020Q2,1
ai,hk,2020Q3,0
ai,hk,2020Q4,2
ai,hk,2021Q1,2
ai,hk,2021Q2,1
ai,hk,2021Q3,4
ai,hk,2021Q4,0
ai,hk,2022Q1,0
ai,hk,2022Q2,1
ai,hk,2022Q3,3
ai,hk,2022Q4,0
ai,hk,2023Q1,5
ai,hk,2023Q2,4
ai,hk,2023Q3,6
ai,hk,2023Q4,3
ai,sg,2015Q1,3
ai,sg,2015Q2,0
ai,sg,2015Q3,3
ai,sg,2015Q4,2
ai,sg,2016Q1,2
ai,sg,2016Q2,1
ai,sg,2016Q3,0
ai,sg,2016Q4,0
ai,sg,2017Q1,9
ai,sg,2017Q2,1
ai,sg,2017Q3,2
ai,sg,2017Q4,1
ai,sg,2018Q1,2
ai,sg,2018Q2,0
ai,sg,2018Q3,3
ai,sg,2018Q4,2
ai,sg,2019Q1,8
ai,sg,2019Q2,2
ai,sg,2019Q3,5
ai,sg,2019Q4,5
ai,sg,2020Q1,8
ai,sg,2020Q2,0
ai,sg,2020Q3,2
ai,sg,2020Q4,3
ai,sg,2021Q1,6
ai,sg,2021Q2,1
ai,sg,2021Q3,2
ai,sg,2021Q4,2
ai,sg,2022Q1,4
ai,sg,2022Q2,1
ai,sg,2022Q3,0
ai,sg,2022Q4,3
ai,sg,2023Q1,4
ai,sg,2023Q2,2
ai,sg,2023Q3,1
ai,sg,2023Q4,5
biomed,hk,2015Q1,4
biomed,hk,2015Q2,4
biomed,hk,2015Q3,1
biomed,hk,2015Q4,4
biomed,hk,2016Q1,2
biomed,hk,2016Q2,0
biomed,hk,2016Q3,0
biomed,hk,2016Q4,0
biomed,hk,2017Q1,2
biomed,hk,2017Q2,0
biomed,hk,2017Q3,2
