industry,city,quarter,patent_families
ai,hk,2015Q1,0
ai,hk,2015Q2,0
ai,hk,2015Q3,1
ai,hk,2015Q4,1
ai,hk,2016Q1,1
ai,hk,2016Q2,0
ai,hk,2016Q3,0
ai,hk,2016Q4,1
ai,hk,2017Q1,1
ai,hk,2017Q2,1
ai,hk,2017Q3,2
ai,hk,2017Q4,2
ai,hk,2018Q1,2
ai,hk,2018Q2,2
ai,hk,2018Q3,3
ai,hk,2018Q4,5
ai,hk,2019Q1,1
ai,hk,2019Q2,5
ai,hk,2019Q3,3
ai,hk,2019Q4,3
ai,hk,2020Q1,2
ai,hk,2020Q2,2
ai,hk,2020Q3,1
ai,hk,2020Q4,1
ai,hk,2021Q1,6
ai,hk,2021Q2,4
ai,hk,2021Q3,3
ai,hk,2021Q4,3
ai,hk,2022Q1,1
ai,hk,2022Q2,1
ai,hk,2022Q3,8
ai,hk,2022Q4,4
ai,hk,2023Q1,3
ai,hk,2023Q2,4
ai,hk,2023Q3,4
ai,hk,2023Q4,6
ai,sg,2015Q1,4
ai,sg,2015Q2,3
ai,sg,2015Q3,6
ai,sg,2015Q4,3
ai,sg,2016Q1,4
ai,sg,2016Q2,0
ai,sg,2016Q3,2
ai,sg,2016Q4,1
ai,sg,2017Q1,5
ai,sg,2017Q2,0
ai,sg,2017Q3,1
ai,sg,2017Q4,1
ai,sg,2018Q1,2
ai,sg,2018Q2,4
ai,sg,2018Q3,5
ai,sg,2018Q4,5
ai,sg,2019Q1,2
ai,sg,2019Q2,2
ai,sg,2019Q3,1
ai,sg,2019Q4,3
ai,sg,2020Q1,8
ai,sg,2020Q2,11
ai,sg,2020Q3,8
ai,sg,2020Q4,5
ai,sg,2021Q1,10
ai,sg,2021Q2,6
ai,sg,2021Q3,7
ai,sg,2021Q4,15
ai,sg,2022Q1,11
ai,sg,2022Q2,24
ai,sg,2022Q3,8
ai,sg,2022Q4,14
ai,sg,2023Q1,12
ai,sg,2023Q2,13
ai,sg,2023Q3,15
ai,sg,2023Q4,14
biomed,hk,2015Q1,10
biomed,hk,2015Q2,9
biomed,hk,2015Q3,13
biomed,hk,2015Q4,7
biomed,hk,2016Q1,7
biomed,hk,2016Q2,12
biomed,hk,2016Q3,15
biomed,hk,2016Q4,11
biomed,hk,2017Q1,4
biomed,hk,2017Q2,17
biomed,hk,2017Q3,15
biomed,hk,2017Q4,14
biomed,hk,2018Q1,8
biomed,hk,2018Q2,11
biomed,hk,2018Q3,8
biomed,hk,2018Q4,14
biomed,hk,2019Q1,8
biomed,hk,2019Q2,16
biomed,hk,2019Q3,9
biomed,hk,2019Q4,7
biomed,hk,2020Q1,4
biomed,hk,2020Q2,7
biomed,hk,2020Q3,10
biomed,hk,2020Q4,9
