industry,city,quarter,family_id,first_filing_in_window,assignees
ai,hk,2015Q1,52484359,20150216,KOKIDO DEV LTD
ai,hk,2015Q1,55180375,20150128,ALIBABA GROUP SERVICES LTD | BANMA ZHIXING NETWORK HONGKONG CO LTD
ai,hk,2015Q1,55302467,20150130,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q1,55303067,20150130,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q1,55402828,20150128,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q1,56622227,20150213,FIH HONG KONG LTD
ai,hk,2015Q2,50683840,20150604,C2 SYSTEMS LTD
ai,hk,2015Q2,53214774,20150407,FIH HONG KONG LTD
ai,hk,2015Q2,54553421,20150519,ADVANCED APPLIED TECH LTD | APPLIED ADVANCED TECHNOLOGIES LTD
ai,hk,2015Q2,55018443,20150629,U3D LTD
ai,hk,2015Q2,55524261,20150623,THUNDER POWER HONG KONG LTD | THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD
ai,hk,2015Q2,55749207,20150507,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q2,55749213,20150506,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q2,55852830,20150507,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q2,55909708,20150429,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q2,55912584,20150416,FIH HONG KONG LTD
ai,hk,2015Q2,56094719,20150505,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q2,56151238,20150429,ALIBABA GROUP SERVICES LTD | BANMA ZHIXING NETWORK HONGKONG CO LTD
ai,hk,2015Q2,56151493,20150505,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q2,56164393,20150603,FIH HONG KONG LTD
ai,hk,2015Q2,56164582,20150421,FIH HONG KONG LTD
ai,hk,2015Q2,56164802,20150420,FIH HONG KONG LTD
ai,hk,2015Q2,57601257,20150623,HONG KONG APPLIED SCIENCE & TECH RESEARCH INST CO LTD | HONG KONG APPLIED SCIENCE AND TECH RESEARCH
ai,hk,2015Q3,53886971,20150819,WELSKY TECH LIMITED | WELSKY TECH LTD | WELSKY TECHNOLOGIES LTD
ai,hk,2015Q3,54335358,20150706,KWAN CHI LEUNG
ai,hk,2015Q3,54704537,20150916,ASIA BASE TECH LIMITED | ASIABASE TECH LIMITED | ASIABASE TECH LTD | ASIABASE TECHNOLOGIES LTD
ai,hk,2015Q3,54768915,20150721,LI PO YIU PAULINE
ai,hk,2015Q3,55231665,20150811,PLATYSENS LTD
ai,hk,2015Q3,55437793,20150714,UNIV HONG KONG POLYTECHNIC
ai,hk,2015Q3,56165664,20150820,FIH HONG KONG LTD
ai,hk,2015Q3,56367693,20150902,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,56408088,20150828,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,56417764,20150828,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,56434140,20150828,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,56553134,20150828,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,56567202,20150826,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,56887974,20150902,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,56925107,20150826,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,56974192,20150831,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,56976634,20150902,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,57007262,20150902,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q3,57204974,20150726,ANTS TECH (HK) LTD | ANTS TECH HK LIMITED
ai,hk,2015Q4,55524209,20151015,THUNDER POWER HONG KONG LTD | THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD
ai,hk,2015Q4,55747663,20151126,CHRYSUS INTELLECTUAL PROPERTIES LTD
ai,hk,2015Q4,55962250,20151018,SOLOS TECH LIMITED
ai,hk,2015Q4,56895557,20151108,THUNDER POWER HONG KONG LTD | THUNDER POWER NEW ENERGY VEHICLE DEV CO LTD | THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD
ai,hk,2015Q4,57129337,20151214,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q4,57136710,20151214,THUNDER POWER HONG KONG LTD | THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD
ai,hk,2015Q4,57148249,20151216,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q4,57189806,20151214,THUNDER POWER HONG KONG LTD | THUNDER POWER NEW ENERGY VEHICLE DEV CO LTD | THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD | THUNDER POWER NEW ENERGY VIHICLE DEV COMPANY LTD | THUNDER POWER NEW ENERGY VIHICLE DEVELOPMENT COMPANY LTD
ai,hk,2015Q4,57248595,20151216,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q4,57248631,20151217,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q4,57277237,20151216,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q4,57286208,20151017,ACHIEVER TECH LTD
ai,hk,2015Q4,57399778,20151230,THUNDER POWER HONG KONG LTD
ai,hk,2015Q4,57517360,20151218,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q4,57586336,20151216,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q4,57586500,20151218,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q4,57684154,20151216,ALIBABA GROUP SERVICES LTD
ai,hk,2015Q4,57708408,20151229,THUNDER POWER HONG KONG LTD | THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD
ai,hk,2015Q4,57737544,20151229,THUNDER POWER HONG KONG LTD | THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD
ai,hk,2015Q4,58523140,20151018,SOLOS TECH LIMITED
ai,hk,2015Q4,58562348,20151027,THUNDER POWER HONG KONG LTD | THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD
ai,hk,2015Q4,58629882,20151030,GLOBAL DESIGN CORP LTD
ai,hk,2015Q4,58690410,20151113,THUNDER POWER HONG KONG LTD | THUNDER POWER NEW ENERGY VEHICLE DEV CO LTD | THUNDER POWER NEW ENERGY VEHICLE DEVELOPMENT CO LTD
